recipe_id,model,category,meal_type,title,ingredients_json,instructions,servings,claimed_energy_kcal,claimed_protein_g,claimed_fat_g,claimed_carbs_g,claimed_saturated_fat_g,claimed_sugar_g,claimed_fiber_g,claimed_salt_g,claimed_calcium_mg,claimed_iron_mg,claimed_magnesium_mg,claimed_phosphorus_mg,claimed_potassium_mg,claimed_zinc_mg,claimed_iodine_ug,claimed_selenium_ug,claimed_vitamin_a_rae_ug,claimed_vitamin_d_ug,claimed_vitamin_e_mg,claimed_vitamin_c_mg,claimed_folate_ug,claimed_vitamin_b12_ug,claimed_vitamin_b1_mg,claimed_vitamin_b2_mg,claimed_vitamin_b3_mg,claimed_vitamin_b6_mg,claimed_fsa_score,claimed_fsa_category,claimed_who_score,calculated_calories.quantity,calculated_protein,calculated_fat,calculated_saturated_fatty_acids,calculated_carbohydrate,calculated_sugar_total,calculated_dietary_fibre,calculated_sodium_(na),calculated_calcium_(ca),calculated_iron_(fe),calculated_zinc_(zn),calculated_selenium_(se),calculated_iodine_(i),calculated_potassium_(k),calculated_magnesium_(mg),calculated_vitamin_a_(rae),calculated_vitamin_b1_(thiamin),calculated_vitamin_b2_(riboflavin),calculated_vitamin_b9_(folate),calculated_vitamin_b12_(cobalamin),calculated_vitamin_c_(askorbic_acid),calculated_vitamin_d,calculated_vitamin_e,total_recipe_weight_g,match_coverage,matched_grams,no_match_grams,considered_grams,ignored_grams,calculated_fsa_fat_score,calculated_fsa_sat_fat_score,calculated_fsa_sugar_score,calculated_fsa_salt_score,calculated_fsa_score,calculated_fsa_category,claimed_calc_fsa_fat_score,claimed_calc_fsa_sat_fat_score,claimed_calc_fsa_sugar_score,claimed_calc_fsa_salt_score,claimed_calc_fsa_score,claimed_calc_fsa_category,calculated_who_score,calculated_who_protein,calculated_who_fat,calculated_who_sat_fat,calculated_who_carbs,calculated_who_sugar,calculated_who_salt,calculated_who_fibre,claimed_calc_who_score,claimed_calc_who_protein,claimed_calc_who_fat,claimed_calc_who_sat_fat,claimed_calc_who_carbs,claimed_calc_who_sugar,claimed_calc_who_salt,claimed_calc_who_fibre
gemini_flash_breakfast_1,gemini_flash,breakfast,Bagels,"Smoked Salmon, Avocado & Dill Whole Wheat Bagel","[""1 piece Bagel, whole wheat"", ""30 g Cream cheese, light, plain"", ""50 g Salmon, smoked"", ""50 g Avocado, raw"", ""30 g Cucumber, fresh"", ""5 g Dill, fresh, chopped"", ""5 ml Lemon juice, fresh"", ""1 g Pepper, black, ground""]","Begin by toasting the whole wheat bagel to your desired crispness. While the bagel is toasting, thinly slice the cucumber and avocado. Once the bagel is ready, spread the light cream cheese evenly over both halves. Layer the smoked salmon over the cream cheese on the bottom half of the bagel. Arrange the sliced avocado and cucumber on top of the salmon. Sprinkle the fresh chopped dill over the ingredients. Drizzle with fresh lemon juice and season with a pinch of black pepper. Place the top half of the bagel on to complete your healthy breakfast.",1,405,23.2,14.5,47.0,3.7,5.7,9.0,2.1,90.0,2.0,50.0,410.0,450.0,1.5,50.0,30.0,40.0,10.0,2.0,7.0,100.0,3.0,0.3,0.2,7.0,0.3,6,moderate,5.0,418.36999999999995,18.784,28.858,9.488999999999999,19.122,2.341,3.695,891.3,89.68,1.5070000000000001,1.322,17.75,8.290000000000001,704.94,56.46,136.16,0.3241,0.2218,48.52,2.4,8.6,4.06,3.26,211.0,1.0,211.0,0.0,211.0,0.0,3,3,1,3,10,unhealthy,2,2,1,3,8,moderate,1,0,0,0,0,1,0,0,3,0,0,1,0,1,0,1
gemini_flash_breakfast_2,gemini_flash,breakfast,Bagels,"Hearty Whole Wheat Bagel with Smoked Salmon, Avocado, and Light Cream Cheese","[""2 pieces Bagel, whole wheat"", ""60 g Cream cheese, light"", ""100 g Salmon, smoked"", ""150 g Avocado, raw"", ""30 g Spinach, raw"", ""2 g Black pepper, ground""]","Begin by toasting the whole wheat bagels to your desired crispness. While the bagels are toasting, prepare the avocado by halving it, removing the pit, and slicing the flesh. Once the bagels are golden brown, spread an even layer of light cream cheese on each half. Next, arrange the smoked salmon slices over the cream cheese. Distribute the fresh avocado slices evenly on top of the salmon. Finish by adding a generous handful of fresh spinach leaves to each bagel, then sprinkle with freshly ground black pepper. Assemble the bagel halves and serve immediately.",2,943,46.1,43.3,94.0,9.9,10.0,19.6,3.7,160.0,4.3,137.0,300.0,1525.0,2.0,10.0,40.0,141.0,10.0,3.0,23.0,264.0,3.0,0.3,0.3,6.0,0.7,5,healthy,5.0,921.1,38.39000000000001,67.4,20.67,36.39000000000001,3.5900000000000003,8.3,1811.1,172.6,2.96,2.9499999999999997,35.0,17.2,1702.7,140.2,333.0,0.678,0.48,153.3,4.8,13.399999999999999,8.12,7.9300000000000015,422.0,1.0,420.0,0.0,420.0,2.0,3,3,1,3,10,unhealthy,3,3,1,3,10,unhealthy,1,0,0,0,0,1,0,0,3,0,0,1,0,1,0,1
gemini_flash_breakfast_3,gemini_flash,breakfast,Bagels,Smoked Salmon and Avocado Whole Wheat Bagel,"[""1 piece Bagel, whole wheat"", ""30 g Cream cheese, light, plain"", ""50 g Smoked salmon"", ""0.5 piece Avocado, ripe"", ""10 g Spinach, fresh"", ""10 g Red onion, raw, thinly sliced"", ""5 ml Lemon juice, fresh"", ""0.5 g Black pepper, ground""]","Begin by toasting the whole wheat bagel to your desired crispness. While the bagel is toasting, slice the half avocado and thinly slice the red onion. Once the bagel is toasted, spread the light cream cheese evenly on both halves. Layer the smoked salmon over the cream cheese on one half. Arrange the sliced avocado, fresh spinach, and red onion on top of the salmon. Squeeze a small amount of fresh lemon juice over the avocado and vegetables, then sprinkle with black pepper to taste. Place the other bagel half on top and serve immediately.",1,486,24.8,18.0,60.3,4.5,8.0,10.6,2.1,100.0,2.5,50.0,230.0,670.0,1.0,20.0,20.0,55.0,5.0,1.5,13.0,120.0,2.0,0.2,0.2,4.0,0.6,4,healthy,6.0,376.9,18.335,24.859999999999996,8.799999999999999,18.520000000000003,2.1200000000000006,3.105,897.55,75.85,1.175,1.18,17.55,8.205,577.5,54.550000000000004,145.85000000000002,0.29750000000000004,0.2025,56.25,2.4,6.5,4.06,2.895,175.5,1.0,175.0,0.0,175.0,0.5,3,3,1,3,10,unhealthy,2,2,1,3,8,moderate,1,0,0,0,0,1,0,0,3,0,0,1,0,1,0,1
gemini_flash_breakfast_4,gemini_flash,breakfast,Bagels,Smoked Salmon & Dill Cream Cheese Bagel with Fresh Greens,"[""1 piece Bagel, whole wheat"", ""30 g Cream cheese, light"", ""50 g Salmon, smoked"", ""30 g Spinach, baby"", ""60 g Tomato, medium"", ""20 g Onion, red"", ""5 g Dill, fresh""]","Begin by toasting the whole wheat bagel to your desired crispiness. While the bagel is toasting, thinly slice the red onion and tomato. Once the bagel is ready, carefully spread the light cream cheese evenly over both halves. Arrange the smoked salmon slices over the cream cheese on the bottom half of the bagel. Top the salmon with fresh baby spinach leaves, sliced tomato, and red onion. Sprinkle generously with fresh dill before placing the top half of the bagel over the fillings. Serve immediately for a fresh and satisfying breakfast.",1,397,25.8,8.0,58.4,3.5,7.5,8.2,2.275,100.0,3.0,75.0,350.0,600.0,1.5,30.0,40.0,200.0,5.0,1.5,17.0,120.0,3.0,0.2,0.2,6.0,0.7,-8,healthy,6.0,336.2,18.955,19.115,7.805,20.325000000000003,3.9250000000000007,3.7000000000000006,917.45,103.80000000000001,1.855,1.35,17.65,8.799999999999999,739.95,71.7,258.34999999999997,0.31550000000000006,0.2535,103.89999999999999,2.4,24.6,4.06,3.125,235.0,1.0,235.0,0.0,235.0,0.0,2,3,1,3,9,moderate,2,1,1,3,7,moderate,1,0,0,0,0,1,0,0,5,0,1,1,1,1,0,1
gemini_flash_breakfast_5,gemini_flash,breakfast,Bagels,Smoked Salmon and Dill Cream Cheese Bagel with Cucumber,"[""1 piece Bagel, whole wheat, medium"", ""50 g Cream cheese, light, plain"", ""50 g Salmon, smoked, slices"", ""50 g Cucumber, fresh"", ""2 g Dill, fresh"", ""5 ml Lemon juice, fresh""]","First, toast the whole wheat bagel to your desired crispness. While the bagel is toasting, thinly slice the fresh cucumber and finely chop the dill. In a small bowl, gently mix the light cream cheese with the chopped dill and a squeeze of fresh lemon juice. Once the bagel is toasted, spread the dill cream cheese evenly over both halves. Arrange the smoked salmon slices on top of the cream cheese, followed by the cucumber slices. Serve immediately and enjoy your fresh and balanced breakfast.",1,410,25.0,10.0,55.0,4.0,9.0,6.0,1.5,70.0,2.0,45.0,220.0,350.0,1.0,12.0,25.0,25.0,5.0,1.5,6.0,60.0,2.2,0.18,0.2,2.5,0.25,4,healthy,1.0,429.79999999999995,20.819,26.002,11.966000000000001,26.836,3.056,2.7649999999999997,1028.47,102.42999999999999,1.327,1.3319999999999999,18.93,10.025,464.59999999999997,52.51,184.89000000000001,0.32950000000000007,0.2163,40.69,2.4579999999999997,7.78,4.2059999999999995,2.4029999999999996,215.0,1.0,215.0,0.0,215.0,0.0,3,3,1,3,10,unhealthy,2,2,1,2,7,moderate,1,0,0,0,0,1,0,0,4,0,1,1,0,1,0,1
gemini_flash_breakfast_6,gemini_flash,breakfast,Banana Breads,Healthy Whole Wheat Banana Walnut Bread,"[""3 piece Banana, ripe, raw"", ""250 g Flour, whole wheat"", ""2 piece Egg, raw"", ""60 ml Maple syrup"", ""60 ml Olive oil"", ""120 ml Milk, low fat, 1.5% fat"", ""5 g Baking soda"", ""2 g Salt, table"", ""3 g Cinnamon, ground"", ""80 g Walnuts, raw, chopped""]","Preheat your oven to 175 degrees Celsius and lightly grease a standard loaf pan. In a large bowl, mash the ripe bananas thoroughly with a fork. To the mashed bananas, add the eggs, maple syrup, and olive oil, mixing well until thoroughly combined. In a separate bowl, whisk together the whole wheat flour, baking soda, salt, and ground cinnamon. Gradually add the dry ingredients to the wet ingredients, mixing until just combined; be careful not to overmix, as this can lead to a tough bread. Fold in the chopped walnuts gently. Pour the batter into the prepared loaf pan and spread evenly. Bake for 50-60 minutes, or until a wooden skewer inserted into the center comes out clean. If the top starts to brown too quickly, you can loosely tent it with aluminum foil. Let the banana bread cool in the pan for 10-15 minutes before transferring it to a wire rack to cool completely before slicing and serving.",10,2527,66.0,125.0,321.0,17.0,95.0,43.0,2.0,180.0,11.0,320.0,900.0,2630.0,7.0,65.0,80.0,200.0,1.5,6.5,30.0,190.0,1.6,1.0,0.6,5.8,1.8,5,healthy,6.0,2599.28,66.918,124.78,15.87,280.2392,115.5828,45.300000000000004,216.26,485.26000000000005,13.7224,10.908,39.7,61.0,3158.6000000000004,523.8399999999999,231.30000000000004,2.0364400000000002,2.0808,386.9000000000001,2.37,40.4,5.24,19.375999999999998,1068.0,1.0,1058.0,0.0,1058.0,10.0,3,3,3,1,10,unhealthy,3,3,3,3,12,unhealthy,4,1,0,1,0,0,1,1,4,1,0,1,0,0,1,1
gemini_flash_breakfast_7,gemini_flash,breakfast,Banana Breads,Healthy Whole Wheat Banana Bread with Walnuts,"[""360 g Banana, ripe, mashed"", ""200 g Wheat flour, whole grain"", ""50 g Oats, rolled, uncooked"", ""75 g Maple syrup"", ""30 ml Coconut oil, melted"", ""60 g Applesauce, unsweetened"", ""2 pieces Egg, raw, large"", ""60 ml Milk, semi-skimmed"", ""1 tsp Baking soda"", ""0.5 tsp Baking powder"", ""1 tsp Vanilla extract"", ""0.5 tsp Cinnamon, ground"", ""0.25 tsp Salt"", ""50 g Walnuts, chopped""]","Preheat your oven to 175°C (350°F) and lightly grease and flour a standard loaf pan. In a large mixing bowl, combine the mashed bananas, maple syrup, melted coconut oil, unsweetened applesauce, eggs, milk, and vanilla extract, mixing until well combined. In a separate bowl, whisk together the whole wheat flour, rolled oats, baking soda, baking powder, cinnamon, and salt. Gradually add the dry ingredients to the wet ingredients, mixing just until no dry streaks remain, being careful not to overmix. Gently fold in the chopped walnuts. Pour the batter into the prepared loaf pan and bake for 50-60 minutes, or until a toothpick inserted into the center comes out clean. Let the banana bread cool in the pan for 10 minutes before transferring it to a wire rack to cool completely before slicing.",12,2090,58.5,77.4,368.5,29.5,137.5,42.0,1.25,250.0,10.0,350.0,900.0,2200.0,5.0,40.0,70.0,60.0,1.0,6.0,25.0,120.0,1.2,1.0,0.6,5.0,1.0,7,moderate,5.0,2159.1800000000003,59.84,79.151,30.507800000000003,281.5249999999999,111.942,44.78,891.35,377.55,13.5985,9.963,44.480000000000004,51.400000000000006,2792.3500000000004,478.75,231.3,1.7789,1.8305000000000002,345.7,2.0100000000000002,50.84,4.82,10.814,1009.0,1.0,992.0,0.0,992.0,17.0,3,3,3,3,12,unhealthy,3,3,3,1,10,unhealthy,2,1,0,0,0,0,0,1,4,1,0,0,1,0,1,1
gemini_flash_breakfast_8,gemini_flash,breakfast,Banana Breads,Healthy Whole Wheat Banana Nut Bread with Oats,"[""300 g Bananas, ripe, mashed"", ""200 g Wheat flour, whole grain"", ""50 g Rolled oats, uncooked"", ""75 g Coconut sugar"", ""2 piece Egg, raw, large"", ""60 ml Olive oil"", ""60 ml Milk, low fat"", ""5 g Baking powder"", ""2.5 g Baking soda"", ""2 g Salt, table"", ""5 ml Vanilla extract"", ""5 g Cinnamon, ground"", ""50 g Walnuts, chopped""]","Preheat your oven to 175°C. Lightly grease and flour a 23x13 cm loaf pan, ensuring it's well-coated to prevent sticking. In a large mixing bowl, thoroughly mash the ripe bananas until they are mostly smooth with a few small lumps remaining. To the mashed bananas, add the eggs, olive oil, low-fat milk, coconut sugar, and vanilla extract, then whisk everything together until all the wet ingredients are well combined. In a separate bowl, combine the whole wheat flour, rolled oats, baking powder, baking soda, table salt, and ground cinnamon, mixing well to distribute the leavening agents evenly. Gradually add the dry ingredients to the wet ingredients, stirring gently until just combined; be careful not to overmix, as this can make the bread tough. Gently fold in the chopped walnuts. Pour the prepared batter into the greased and floured loaf pan, spreading it evenly with a spatula. Bake for 50-60 minutes, or until a wooden skewer or toothpick inserted into the center of the loaf comes out clean. Once baked, remove the banana bread from the oven and let it cool in the pan for about 10 minutes before carefully transferring it to a wire rack to cool completely before slicing and serving.",12,2400,60.0,108.0,328.0,16.0,114.0,42.0,2.0,250.0,14.0,465.0,1175.0,2480.0,7.0,60.0,85.0,150.0,2.0,8.0,30.0,250.0,1.3,1.3,1.0,11.0,1.6,-1,healthy,2.0,2400.98,59.13799999999999,105.95,14.456,291.65,113.52,44.3,228.85,420.75,13.584999999999999,9.15,47.300000000000004,51.400000000000006,2619.4,461.8,224.70000000000002,1.67,1.0655,268.3,2.0100000000000002,26.599999999999998,4.82,18.326,918.25,1.0,899.0,0.0,899.0,19.25,3,3,3,1,10,unhealthy,3,3,3,3,12,unhealthy,3,0,0,1,0,0,1,1,4,1,0,1,0,0,1,1
gemini_flash_breakfast_9,gemini_flash,breakfast,Banana Breads,Wholesome Maple Pecan Banana Bread,"[""3 medium Bananas, ripe, mashed"", ""200 g Whole wheat flour"", ""50 g Rolled oats, uncooked"", ""100 g Maple syrup"", ""50 g Brown sugar"", ""60 ml Coconut oil, virgin, melted"", ""2 piece Egg, raw"", ""50 ml Milk, low-fat"", ""10 g Baking powder"", ""5 g Baking soda"", ""5 ml Vanilla extract"", ""2 g Cinnamon, ground"", ""1 g Salt"", ""50 g Pecans, chopped""]","Preheat your oven to 175°C and lightly grease and flour a standard loaf pan. In a large bowl, mash the ripe bananas until mostly smooth. Stir in the melted coconut oil, maple syrup, brown sugar, eggs, milk, and vanilla extract until well combined. In a separate bowl, whisk together the whole wheat flour, rolled oats, baking powder, baking soda, cinnamon, and salt. Gradually add the dry ingredients to the wet ingredients, mixing until just combined; be careful not to overmix. Fold in the chopped pecans. Pour the batter into the prepared loaf pan and bake for 50-60 minutes, or until a wooden skewer inserted into the center comes out clean. Let the banana bread cool in the pan for 10 minutes before transferring it to a wire rack to cool completely.",10,2150,58.0,95.0,295.0,55.0,180.0,28.0,5.5,380.0,10.0,280.0,850.0,2000.0,4.5,25.0,50.0,80.0,1.5,6.0,30.0,200.0,0.5,0.8,0.6,7.0,1.2,7,moderate,5.0,2656.26,56.674,109.66,54.8252,349.38399999999996,157.52800000000002,48.86,620.6,457.7,13.475999999999999,10.599999999999998,47.300000000000004,49.800000000000004,3102.8,512.4,227.30000000000004,1.8545999999999998,2.2868,234.9,1.9500000000000002,31.319999999999997,4.75,10.32,1046.75,1.0,1024.0,0.0,1024.0,22.75,3,3,3,1,10,unhealthy,3,3,3,3,12,unhealthy,2,0,0,0,0,0,1,1,2,1,0,0,0,0,0,1
gemini_flash_breakfast_10,gemini_flash,breakfast,Banana Breads,Wholesome Maple Walnut Banana Bread,"[""3 medium Bananas, ripe, mashed"", ""200 g Whole wheat flour"", ""50 g Oats, rolled, dry"", ""1 piece Egg, large"", ""60 ml Maple syrup"", ""60 ml Olive oil"", ""60 ml Milk, semi-skimmed"", ""100 g Walnuts, chopped"", ""1 tsp Baking soda"", ""0.5 tsp Baking powder"", ""1 tsp Cinnamon, ground"", ""0.5 tsp Salt"", ""1 tsp Vanilla extract""]","Preheat your oven to 175°C (350°F). Lightly grease and flour a 23x13 cm (9x5 inch) loaf pan. In a large mixing bowl, thoroughly mash the ripe bananas using a fork or potato masher. Add the large egg, maple syrup, olive oil, semi-skimmed milk, and vanilla extract to the mashed bananas and whisk until all wet ingredients are well combined. In a separate medium bowl, combine the whole wheat flour, rolled oats, baking soda, baking powder, ground cinnamon, and salt, whisking them together thoroughly. Gradually add the dry ingredients to the wet ingredients, mixing with a spatula until just combined. Be careful not to overmix the batter, as this can make the bread tough. Gently fold in the chopped walnuts. Pour the batter evenly into the prepared loaf pan and smooth the top. Bake for 50-60 minutes, or until a wooden skewer or toothpick inserted into the center of the loaf comes out clean. If the top begins to brown too quickly, you can loosely tent it with aluminum foil for the last 15-20 minutes of baking. Once baked, let the banana bread cool in the pan for 10 minutes before carefully transferring it to a wire rack to cool completely before slicing and serving.",10,2630,62.0,135.0,326.0,16.0,103.0,47.0,2.5,250.0,12.0,550.0,1300.0,2500.0,9.0,10.0,35.0,20.0,1.0,7.0,30.0,200.0,0.8,0.9,0.3,4.0,1.7,5,healthy,6.0,2660.34,60.092000000000006,133.728,15.3612,292.6912,101.8288,49.36,1517.46,393.18,13.7864,10.584,31.120000000000005,30.880000000000003,2897.6000000000004,533.1600000000001,121.20000000000002,1.8312399999999998,2.033,312.64,1.2000000000000002,32.31999999999999,2.66,15.272000000000002,985.25,1.0,964.0,0.0,964.0,21.25,3,3,3,3,12,unhealthy,3,3,3,3,12,unhealthy,2,0,0,1,0,0,0,1,2,0,0,1,0,0,0,1
