recipe_id,model,category,meal_type,title,ingredients_json,instructions,servings,claimed_energy_kcal,claimed_protein_g,claimed_fat_g,claimed_carbs_g,claimed_saturated_fat_g,claimed_sugar_g,claimed_fiber_g,claimed_salt_g,claimed_calcium_mg,claimed_iron_mg,claimed_magnesium_mg,claimed_phosphorus_mg,claimed_potassium_mg,claimed_zinc_mg,claimed_iodine_ug,claimed_selenium_ug,claimed_vitamin_a_rae_ug,claimed_vitamin_d_ug,claimed_vitamin_e_mg,claimed_vitamin_c_mg,claimed_folate_ug,claimed_vitamin_b12_ug,claimed_vitamin_b1_mg,claimed_vitamin_b2_mg,claimed_vitamin_b3_mg,claimed_vitamin_b6_mg,claimed_fsa_score,claimed_fsa_category,claimed_who_score
grok4_fast_breakfast_1,grok4_fast,breakfast,Bagels,"Open-Faced Whole Grain Bagel with Avocado, Smoked Salmon, and Poached Egg","[""75 g Bagel, whole wheat"", ""50 g Avocado, raw"", ""75 g Salmon, smoked"", ""1 piece Egg, raw, poached (50 g)"", ""15 g Cream cheese, plain"", ""5 g Red onion, raw, sliced"", ""10 g Tomato, raw, sliced"", ""5 g Capers"", ""2 g Dill, fresh, chopped"", ""5 ml Lemon juice""]","Toast the whole wheat bagel halves until golden and crisp on a toaster or in a toaster oven for 2-3 minutes. Mash the avocado with lemon juice and a pinch of black pepper, then spread evenly on the toasted bagel halves. Layer on thin slices of smoked salmon, followed by slices of red onion and tomato. Poach the egg by bringing a small pot of water to a gentle simmer, adding a splash of vinegar, creating a vortex with a spoon, and carefully sliding in the egg; cook for 3-4 minutes until the white is set but yolk is runny, then drain on a paper towel. Top each bagel half with half the poached egg, a dollop of cream cheese, capers, and chopped dill. Serve immediately while warm.",1,650,35,32,52,8,5,9,2.5,120,4,100,450,850,2.5,40,35,150,8,3,15,120,4,0.3,0.4,8,0.8,6,healthy,5
grok4_fast_breakfast_2,grok4_fast,breakfast,Bagels,"Whole Grain Bagels with Avocado, Smoked Salmon, and Poached Egg","[""120 g Bagel, whole wheat"", ""100 g Avocado, raw"", ""80 g Salmon, smoked"", ""1 piece Egg, raw, large"", ""20 g Cream cheese, plain"", ""15 g Onion, red, raw"", ""5 g Capers"", ""10 g Lemon juice"", ""2 g Dill, fresh"", ""50 ml Water, for poaching""]","Toast the whole wheat bagel halves in a toaster or under a medium grill until golden brown, about 2 minutes. Mash the avocado with lemon juice and a pinch of black pepper, then spread evenly on the toasted bagel halves. Layer smoked salmon, thinly sliced red onion, capers, and chopped fresh dill on top of the avocado. Bring a small pot of water to a gentle simmer over medium heat, crack the egg into a ramekin, and gently slide it into the simmering water. Poach the egg for 3-4 minutes until the white is set but the yolk is still runny, then remove with a slotted spoon and drain on a paper towel. Place the poached egg on top of the toppings, add a dollop of cream cheese on the side, and serve immediately while warm.",1,580,28,32,45,7,3,9,2.2,120,3.5,90,450,850,2.5,40,35,150,8,3.2,15,120,3.5,0.4,0.5,8,0.7,6,healthy,6
grok4_fast_breakfast_3,grok4_fast,breakfast,Bagels,"Whole Grain Bagel with Avocado, Smoked Salmon and Poached Egg","[""100 g Bagel, whole wheat"", ""100 g Avocado, raw"", ""80 g Salmon, smoked"", ""1 piece Egg, raw, large"", ""10 g Cream cheese, plain"", ""5 g Lemon juice"", ""2 g Dill, fresh, chopped"", ""1 g Salt"", ""50 ml Water""]","Slice the whole wheat bagel in half and lightly toast both halves in a toaster or under a medium grill until golden brown, about 2 minutes. Mash the avocado with the lemon juice, a pinch of salt, and chopped dill until smooth. Spread the mashed avocado evenly on both toasted bagel halves. Layer slices of smoked salmon on top of the avocado. Bring a small pot of water to a gentle simmer, crack the egg into a small bowl, then slide it into the simmering water. Poach the egg for 3-4 minutes until the white is set but the yolk is still runny. Remove with a slotted spoon and drain on a paper towel. Place the poached egg on top of the salmon. Spread a thin layer of cream cheese on the side if desired, season lightly with salt, and serve immediately while warm.",1,650,32,35,50,7,4,9,2.5,120,4,90,450,850,2.5,30,45,150,8,3,15,120,4,0.4,0.5,8,0.6,5,healthy,6
grok4_fast_breakfast_4,grok4_fast,breakfast,Bagels,"Toasted Whole Wheat Bagels with Avocado, Smoked Salmon and Poached Eggs","[""2 pieces Bagel, whole wheat"", ""100 g Avocado, raw"", ""100 g Salmon, smoked"", ""2 pieces Egg, raw, medium"", ""15 g Cream cheese, plain"", ""10 g Onion, red, raw"", ""5 g Capers"", ""0.5 piece Lemon, raw"", ""5 g Dill, fresh"", ""1 g Black pepper, ground"", ""2 g Salt, table""]","Slice the bagels in half horizontally and toast them in a toaster or under a medium-hot grill until golden brown, about 2-3 minutes. Mash the avocado with a squeeze of lemon juice and a pinch of salt until smooth. Poach the eggs by bringing a small pot of water to a gentle simmer, crack each egg into a separate small bowl, then slide them into the water and cook for 3-4 minutes until the whites are set but yolks are still runny; remove with a slotted spoon and drain on paper towel. Spread each toasted bagel half with a thin layer of cream cheese, then top the bottom halves with mashed avocado, followed by slices of smoked salmon, thin rings of red onion, a few capers, a poached egg, freshly chopped dill, black pepper, and a final squeeze of lemon juice. Place the top bagel halves on and serve immediately while warm.",2,850,45,40,70,10,5,12,4,150,4,120,500,1100,3,40,50,150,10,4,20,200,4,0.4,0.6,8,0.8,5,healthy,6
grok4_fast_breakfast_5,grok4_fast,breakfast,Bagels,"Whole Grain Bagel with Avocado, Smoked Salmon, and Poached Egg","[""2 pieces Bagel, whole wheat"", ""100 g Avocado, raw"", ""100 g Salmon, smoked"", ""2 pieces Egg, raw, medium"", ""15 g Cream cheese, plain"", ""50 g Tomato, raw, ripe"", ""10 g Onion, red, raw"", ""5 g Capers"", ""10 ml Lemon juice, fresh"", ""2 g Dill, fresh"", ""1 g Black pepper, ground"", ""2 g Sea salt""]","Toast the two whole wheat bagels in a toaster or under a medium-hot grill until golden and crisp on both sides, about 2-3 minutes. Mash the avocado in a bowl with 5 ml lemon juice, a pinch of black pepper, and a pinch of sea salt until smooth. Poach the eggs in simmering water with a splash of vinegar for 3-4 minutes until the whites are set but yolks are runny, then drain on paper towels. Spread each bagel half generously with cream cheese, top the bottom halves with sliced smoked salmon, poached eggs, mashed avocado, sliced tomatoes, thinly sliced red onion, capers, chopped dill, and a drizzle of remaining lemon juice. Season with a little sea salt and pepper, then place the top bagel halves on and serve immediately while warm.",2,850,45,42,70,10,6,12,4.2,150,4.5,120,500,1100,3.2,40,45,200,12,4,25,200,5,0.4,0.6,8,0.8,5,healthy,6
grok4_fast_breakfast_6,grok4_fast,breakfast,Banana Breads,Healthy Oat and Banana Breakfast Bread,"[""200 g Banana, raw, peeled"", ""150 g Whole wheat flour"", ""100 g Oats, rolled"", ""2 piece Egg, raw"", ""80 g Greek yogurt, low-fat"", ""50 ml Milk, semi-skimmed"", ""40 g Honey"", ""30 g Almonds, whole"", ""5 g Baking powder"", ""2 g Cinnamon, ground"", ""1 g Salt, table""]","Preheat your oven to 180°C and line a 20x10 cm loaf tin with parchment paper. In a large bowl, mash the bananas until smooth, then whisk in the eggs, Greek yogurt, milk, and honey until well combined. In a separate bowl, mix the whole wheat flour, oats, baking powder, cinnamon, and salt. Stir the dry ingredients into the wet mixture until just combined, then fold in the chopped almonds. Pour the batter into the prepared tin and smooth the top. Bake for 45-50 minutes, or until a toothpick inserted into the center comes out clean. Allow to cool in the tin for 10 minutes before transferring to a wire rack to cool completely. Slice into portions to serve.",10,2200,72,62,340,12,82,32,2.5,650,12,420,1200,2800,8,60,45,200,2.5,8,22,220,1.8,1.2,1.1,8,2.2,6,healthy,5.5
grok4_fast_breakfast_7,grok4_fast,breakfast,Banana Breads,Healthy Banana Oat Bread with Walnuts and Yogurt,"[""300 g Banana, ripe, mashed"", ""200 g Flour, wheat, wholemeal"", ""150 g Oats, rolled"", ""2 piece Egg, raw"", ""100 g Yogurt, plain, low-fat"", ""80 g Honey"", ""50 g Walnuts, chopped"", ""30 g Olive oil"", ""5 g Baking powder"", ""3 g Cinnamon, ground"", ""2 g Salt""]","Preheat your oven to 180°C and line a 22 cm loaf tin with parchment paper. In a large bowl, mash the ripe bananas until smooth, then whisk in the eggs, yogurt, honey, and olive oil until well combined. In a separate bowl, mix the wholemeal flour, rolled oats, baking powder, cinnamon, and salt. Gradually fold the dry ingredients into the wet mixture until just combined, then stir in the chopped walnuts. Pour the batter into the prepared tin and smooth the top. Bake for 50-60 minutes, or until a toothpick inserted into the center comes out clean. Allow to cool in the tin for 10 minutes before transferring to a wire rack to cool completely. Slice and serve.",10,3580,102,118,540,20,200,48,4.8,650,20,520,1400,4200,10,80,70,300,2,8,40,400,1.2,2.2,1.8,12,3.5,6,healthy,5
grok4_fast_breakfast_8,grok4_fast,breakfast,Banana Breads,Healthy Oat and Banana Breakfast Bread,"[""200 g Banana, ripe, mashed"", ""150 g Whole wheat flour"", ""100 g Rolled oats"", ""2 piece Egg, raw"", ""100 g Greek yogurt, low-fat"", ""50 ml Vegetable oil"", ""50 g Honey"", ""5 g Baking powder"", ""2 g Cinnamon, ground"", ""2 g Salt"", ""50 g Walnuts, chopped""]","Preheat your oven to 180°C and grease a 20x10 cm loaf tin with a little oil. In a large bowl, mash the ripe bananas until smooth, then whisk in the eggs, Greek yogurt, vegetable oil, and honey until well combined. In a separate bowl, mix together the whole wheat flour, rolled oats, baking powder, cinnamon, and salt. Gradually stir the dry ingredients into the wet mixture until just combined, being careful not to overmix; the batter should be thick. Fold in the chopped walnuts. Pour the batter into the prepared loaf tin and smooth the top. Bake in the preheated oven for 50-60 minutes, or until a toothpick inserted into the center comes out clean. Allow the bread to cool in the tin for 10 minutes before transferring to a wire rack to cool completely. Slice into 8 portions and enjoy warm or at room temperature.",8,2800,78,118,362,18,102,32,5.2,650,15,420,1100,2400,8.5,40,55,180,2.5,12,22,320,1.2,1.4,1.1,12,2.1,6,healthy,5
grok4_fast_breakfast_9,grok4_fast,breakfast,Banana Breads,Healthy Banana Oat Bread with Walnuts and Yogurt,"[""300 g Banana, ripe, mashed"", ""200 g Oats, rolled, blended to flour"", ""150 g Yogurt, plain, low-fat"", ""100 g Egg, raw, beaten"", ""80 g Honey"", ""50 g Walnuts, chopped"", ""40 g Olive oil"", ""10 g Baking powder"", ""5 g Cinnamon, ground"", ""2 g Salt"", ""5 g Vanilla extract""]","Preheat your oven to 180°C and line a 22 cm loaf tin with parchment paper, lightly greased with a bit of olive oil. In a large mixing bowl, mash the ripe bananas until smooth, then stir in the yogurt, beaten eggs, honey, olive oil, and vanilla extract until well combined. In a separate bowl, blend the rolled oats into a fine flour using a food processor, then mix in the baking powder, cinnamon, and salt. Gradually add the dry oat mixture to the wet banana mixture, stirring gently until just combined—do not overmix. Fold in the chopped walnuts evenly. Pour the batter into the prepared loaf tin and smooth the top with a spatula. Bake in the center of the oven for 50-60 minutes, or until a toothpick inserted into the center comes out clean and the top is golden brown. Allow the bread to cool in the tin for 10 minutes before transferring to a wire rack to cool completely. Slice into portions once fully cooled.",10,2850,78,112,382,18,148,32,5.2,850,18,520,1200,3800,9.5,40,65,150,2.5,12,32,420,1.8,1.4,1.6,8.5,3.2,6,healthy,5
grok4_fast_breakfast_10,grok4_fast,breakfast,Banana Breads,Healthy Banana Oat Bread with Walnuts and Cinnamon,"[""250 g Bananas, raw, peeled"", ""200 g Whole wheat flour"", ""100 g Rolled oats"", ""2 piece Egg, raw"", ""80 g Greek yogurt, low-fat"", ""50 g Honey"", ""30 g Walnuts, raw"", ""20 g Rapeseed oil"", ""5 g Baking powder"", ""2 g Cinnamon, ground"", ""2 g Salt""]","Preheat your oven to 180°C and grease a 20x10 cm loaf tin with a little oil or line it with baking paper. In a large bowl, mash the peeled bananas with a fork until smooth. Add the eggs, Greek yogurt, honey, and rapeseed oil to the mashed bananas, and whisk together until well combined and smooth. In a separate bowl, mix the whole wheat flour, rolled oats, baking powder, cinnamon, and salt. Gradually stir the dry ingredients into the wet mixture until just combined, being careful not to overmix. Roughly chop the walnuts and fold them into the batter. Pour the batter into the prepared loaf tin and smooth the top with a spatula. Bake in the preheated oven for 50-60 minutes, or until a toothpick inserted into the center comes out clean. Allow the bread to cool in the tin for 10 minutes, then transfer to a wire rack to cool completely before slicing.",10,3120,95,95,470,15,130,45,4.8,650,18,500,1400,4200,12,120,80,300,4,8,35,400,2,2.2,1.8,20,4.5,6,healthy,5
