recipe_id,model,category,meal_type,title,ingredients_json,instructions,servings,claimed_energy_kcal,claimed_protein_g,claimed_fat_g,claimed_carbs_g,claimed_saturated_fat_g,claimed_sugar_g,claimed_fiber_g,claimed_salt_g,claimed_calcium_mg,claimed_iron_mg,claimed_magnesium_mg,claimed_phosphorus_mg,claimed_potassium_mg,claimed_zinc_mg,claimed_iodine_ug,claimed_selenium_ug,claimed_vitamin_a_rae_ug,claimed_vitamin_d_ug,claimed_vitamin_e_mg,claimed_vitamin_c_mg,claimed_folate_ug,claimed_vitamin_b12_ug,claimed_vitamin_b1_mg,claimed_vitamin_b2_mg,claimed_vitamin_b3_mg,claimed_vitamin_b6_mg,claimed_fsa_score,claimed_fsa_category,claimed_who_score,calculated_calories.quantity,calculated_protein,calculated_fat,calculated_saturated_fatty_acids,calculated_carbohydrate,calculated_sugar_total,calculated_dietary_fibre,calculated_sodium_(na),calculated_calcium_(ca),calculated_iron_(fe),calculated_zinc_(zn),calculated_selenium_(se),calculated_iodine_(i),calculated_potassium_(k),calculated_magnesium_(mg),calculated_vitamin_a_(rae),calculated_vitamin_b1_(thiamin),calculated_vitamin_b2_(riboflavin),calculated_vitamin_b9_(folate),calculated_vitamin_b12_(cobalamin),calculated_vitamin_c_(askorbic_acid),calculated_vitamin_d,calculated_vitamin_e,total_recipe_weight_g,match_coverage,matched_grams,no_match_grams,considered_grams,ignored_grams,calculated_fsa_fat_score,calculated_fsa_sat_fat_score,calculated_fsa_sugar_score,calculated_fsa_salt_score,calculated_fsa_score,calculated_fsa_category,claimed_calc_fsa_fat_score,claimed_calc_fsa_sat_fat_score,claimed_calc_fsa_sugar_score,claimed_calc_fsa_salt_score,claimed_calc_fsa_score,claimed_calc_fsa_category,calculated_who_score,calculated_who_protein,calculated_who_fat,calculated_who_sat_fat,calculated_who_carbs,calculated_who_sugar,calculated_who_salt,calculated_who_fibre,claimed_calc_who_score,claimed_calc_who_protein,claimed_calc_who_fat,claimed_calc_who_sat_fat,claimed_calc_who_carbs,claimed_calc_who_sugar,claimed_calc_who_salt,claimed_calc_who_fibre
grok4_fast_breakfast_1,grok4_fast,breakfast,Bagels,"Open-Faced Whole Grain Bagel with Avocado, Smoked Salmon, and Poached Egg","[""75 g Bagel, whole wheat"", ""50 g Avocado, raw"", ""75 g Salmon, smoked"", ""1 piece Egg, raw, poached (50 g)"", ""15 g Cream cheese, plain"", ""5 g Red onion, raw, sliced"", ""10 g Tomato, raw, sliced"", ""5 g Capers"", ""2 g Dill, fresh, chopped"", ""5 ml Lemon juice""]","Toast the whole wheat bagel halves until golden and crisp on a toaster or in a toaster oven for 2-3 minutes. Mash the avocado with lemon juice and a pinch of black pepper, then spread evenly on the toasted bagel halves. Layer on thin slices of smoked salmon, followed by slices of red onion and tomato. Poach the egg by bringing a small pot of water to a gentle simmer, adding a splash of vinegar, creating a vortex with a spoon, and carefully sliding in the egg; cook for 3-4 minutes until the white is set but yolk is runny, then drain on a paper towel. Top each bagel half with half the poached egg, a dollop of cream cheese, capers, and chopped dill. Serve immediately while warm.",1,650,35.0,32.0,52.0,8.0,5.0,9.0,2.5,120,4.0,100,450,850,2.5,40,35.0,150,8.0,3.0,15.0,120,4.0,0.3,0.4,8.0,0.8,6,healthy,5.0,610.11,33.74049999999999,36.5705,10.174150000000001,33.57350000000001,2.6365000000000003,4.995,1626.4899999999998,120.99000000000002,2.8074999999999997,2.3855,42.94,10.605000000000002,884.74,81.91,183.57999999999998,0.4819,0.46445000000000003,77.02000000000001,3.9454999999999996,6.3,7.265,4.7860000000000005,297.0,1.0,297.0,0.0,297.0,0.0,3,3,1,3,10,unhealthy,3,3,1,3,10,unhealthy,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1
grok4_fast_breakfast_2,grok4_fast,breakfast,Bagels,"Whole Grain Bagels with Avocado, Smoked Salmon, and Poached Egg","[""120 g Bagel, whole wheat"", ""100 g Avocado, raw"", ""80 g Salmon, smoked"", ""1 piece Egg, raw, large"", ""20 g Cream cheese, plain"", ""15 g Onion, red, raw"", ""5 g Capers"", ""10 g Lemon juice"", ""2 g Dill, fresh"", ""50 ml Water, for poaching""]","Toast the whole wheat bagel halves in a toaster or under a medium grill until golden brown, about 2 minutes. Mash the avocado with lemon juice and a pinch of black pepper, then spread evenly on the toasted bagel halves. Layer smoked salmon, thinly sliced red onion, capers, and chopped fresh dill on top of the avocado. Bring a small pot of water to a gentle simmer over medium heat, crack the egg into a ramekin, and gently slide it into the simmering water. Poach the egg for 3-4 minutes until the white is set but the yolk is still runny, then remove with a slotted spoon and drain on a paper towel. Place the poached egg on top of the toppings, add a dollop of cream cheese on the side, and serve immediately while warm.",1,580,28.0,32.0,45.0,7.0,3.0,9.0,2.2,120,3.5,90,450,850,2.5,40,35.0,150,8.0,3.2,15.0,120,3.5,0.4,0.5,8.0,0.7,6,healthy,6.0,866.6099999999999,40.584999999999994,52.862,14.191999999999998,53.16299999999999,3.963,8.6,1839.59,160.43999999999997,3.7449999999999997,3.1860000000000004,47.21000000000001,34.379999999999995,1282.2900000000002,118.21000000000001,236.28,0.6748,0.5756000000000001,121.77,4.665,7.850000000000001,9.059999999999999,9.434000000000003,439.5,1.0,407.0,0.0,407.0,32.5,3,3,1,3,10,unhealthy,3,3,1,3,10,unhealthy,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1
grok4_fast_breakfast_3,grok4_fast,breakfast,Bagels,"Whole Grain Bagel with Avocado, Smoked Salmon and Poached Egg","[""100 g Bagel, whole wheat"", ""100 g Avocado, raw"", ""80 g Salmon, smoked"", ""1 piece Egg, raw, large"", ""10 g Cream cheese, plain"", ""5 g Lemon juice"", ""2 g Dill, fresh, chopped"", ""1 g Salt"", ""50 ml Water""]","Slice the whole wheat bagel in half and lightly toast both halves in a toaster or under a medium grill until golden brown, about 2 minutes. Mash the avocado with the lemon juice, a pinch of salt, and chopped dill until smooth. Spread the mashed avocado evenly on both toasted bagel halves. Layer slices of smoked salmon on top of the avocado. Bring a small pot of water to a gentle simmer, crack the egg into a small bowl, then slide it into the simmering water. Poach the egg for 3-4 minutes until the white is set but the yolk is still runny. Remove with a slotted spoon and drain on a paper towel. Place the poached egg on top of the salmon. Spread a thin layer of cream cheese on the side if desired, season lightly with salt, and serve immediately while warm.",1,650,32.0,35.0,50.0,7.0,4.0,9.0,2.5,120,4.0,90,450,850,2.5,30,45.0,150,8.0,3.0,15.0,120,4.0,0.4,0.5,8.0,0.6,5,healthy,6.0,773.76,37.730000000000004,48.38699999999999,11.722,43.613,2.613,7.045,1976.94,133.84,3.3349999999999995,2.831,46.01,32.705,1203.54,105.00999999999999,198.98000000000002,0.6167999999999999,0.5166000000000001,107.17,4.624999999999999,5.2,8.91,9.139000000000003,385.5,1.0,352.0,0.0,352.0,33.5,3,3,1,3,10,unhealthy,3,3,1,3,10,unhealthy,1,0,0,0,0,1,0,0,3,0,0,1,0,1,0,1
grok4_fast_breakfast_4,grok4_fast,breakfast,Bagels,"Toasted Whole Wheat Bagels with Avocado, Smoked Salmon and Poached Eggs","[""2 pieces Bagel, whole wheat"", ""100 g Avocado, raw"", ""100 g Salmon, smoked"", ""2 pieces Egg, raw, medium"", ""15 g Cream cheese, plain"", ""10 g Onion, red, raw"", ""5 g Capers"", ""0.5 piece Lemon, raw"", ""5 g Dill, fresh"", ""1 g Black pepper, ground"", ""2 g Salt, table""]","Slice the bagels in half horizontally and toast them in a toaster or under a medium-hot grill until golden brown, about 2-3 minutes. Mash the avocado with a squeeze of lemon juice and a pinch of salt until smooth. Poach the eggs by bringing a small pot of water to a gentle simmer, crack each egg into a separate small bowl, then slide them into the water and cook for 3-4 minutes until the whites are set but yolks are still runny; remove with a slotted spoon and drain on paper towel. Spread each toasted bagel half with a thin layer of cream cheese, then top the bottom halves with mashed avocado, followed by slices of smoked salmon, thin rings of red onion, a few capers, a poached egg, freshly chopped dill, black pepper, and a final squeeze of lemon juice. Place the top bagel halves on and serve immediately while warm.",2,850,45.0,40.0,70.0,10.0,5.0,12.0,4.0,150,4.0,120,500,1100,3.0,40,50.0,150,10.0,4.0,20.0,200,4.0,0.4,0.6,8.0,0.8,5,healthy,6.0,869.0,48.339999999999996,56.965,13.935,36.92,4.12,8.05,1957.1999999999998,174.70000000000002,4.635,3.44,69.05000000000001,55.400000000000006,1422.3,115.50000000000001,329.15000000000003,0.693,0.784,144.20000000000005,6.36,27.000000000000004,12.475000000000001,13.425,468.0,1.0,465.0,0.0,465.0,3.0,3,3,1,3,10,unhealthy,3,3,1,3,10,unhealthy,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1
grok4_fast_breakfast_5,grok4_fast,breakfast,Bagels,"Whole Grain Bagel with Avocado, Smoked Salmon, and Poached Egg","[""2 pieces Bagel, whole wheat"", ""100 g Avocado, raw"", ""100 g Salmon, smoked"", ""2 pieces Egg, raw, medium"", ""15 g Cream cheese, plain"", ""50 g Tomato, raw, ripe"", ""10 g Onion, red, raw"", ""5 g Capers"", ""10 ml Lemon juice, fresh"", ""2 g Dill, fresh"", ""1 g Black pepper, ground"", ""2 g Sea salt""]","Toast the two whole wheat bagels in a toaster or under a medium-hot grill until golden and crisp on both sides, about 2-3 minutes. Mash the avocado in a bowl with 5 ml lemon juice, a pinch of black pepper, and a pinch of sea salt until smooth. Poach the eggs in simmering water with a splash of vinegar for 3-4 minutes until the whites are set but yolks are runny, then drain on paper towels. Spread each bagel half generously with cream cheese, top the bottom halves with sliced smoked salmon, poached eggs, mashed avocado, sliced tomatoes, thinly sliced red onion, capers, chopped dill, and a drizzle of remaining lemon juice. Season with a little sea salt and pepper, then place the top bagel halves on and serve immediately while warm.",2,850,45.0,42.0,70.0,10.0,6.0,12.0,4.2,150,4.5,120,500,1100,3.2,40,45.0,200,12.0,4.0,25.0,200,5.0,0.4,0.6,8.0,0.8,5,healthy,6.0,865.16,48.025000000000006,56.812000000000005,13.932,36.983,4.183,7.300000000000001,2756.1899999999996,163.44,4.339999999999999,3.396,69.06,54.93,1483.19,115.66000000000001,325.2800000000001,0.6843,0.7741000000000001,144.62000000000003,6.36,14.8,12.475000000000001,13.654,485.0,1.0,482.0,0.0,482.0,3.0,3,3,1,3,10,unhealthy,3,3,1,3,10,unhealthy,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1
grok4_fast_breakfast_6,grok4_fast,breakfast,Banana Breads,Healthy Oat and Banana Breakfast Bread,"[""200 g Banana, raw, peeled"", ""150 g Whole wheat flour"", ""100 g Oats, rolled"", ""2 piece Egg, raw"", ""80 g Greek yogurt, low-fat"", ""50 ml Milk, semi-skimmed"", ""40 g Honey"", ""30 g Almonds, whole"", ""5 g Baking powder"", ""2 g Cinnamon, ground"", ""1 g Salt, table""]","Preheat your oven to 180°C and line a 20x10 cm loaf tin with parchment paper. In a large bowl, mash the bananas until smooth, then whisk in the eggs, Greek yogurt, milk, and honey until well combined. In a separate bowl, mix the whole wheat flour, oats, baking powder, cinnamon, and salt. Stir the dry ingredients into the wet mixture until just combined, then fold in the chopped almonds. Pour the batter into the prepared tin and smooth the top. Bake for 45-50 minutes, or until a toothpick inserted into the center comes out clean. Allow to cool in the tin for 10 minutes before transferring to a wire rack to cool completely. Slice into portions to serve.",10,2200,72.0,62.0,340.0,12.0,82.0,32.0,2.5,650,12.0,420,1200,2800,8.0,60,45.0,200,2.5,8.0,22.0,220,1.8,1.2,1.1,8.0,2.2,6,healthy,5.5,1588.9999999999998,59.92999999999999,37.459999999999994,7.25,233.17000000000002,74.60000000000001,40.8,214.9,404.79999999999995,13.29,9.409999999999998,51.400000000000006,62.80000000000001,2022.1,441.3,256.30000000000007,1.4539999999999997,1.139,246.70000000000002,2.27,22.7,4.75,16.96,768.0,1.0,760.0,0.0,760.0,8.0,3,3,3,1,10,unhealthy,3,3,3,3,12,unhealthy,5,0,1,1,1,0,1,1,5,1,1,1,1,0,0,1
grok4_fast_breakfast_7,grok4_fast,breakfast,Banana Breads,Healthy Banana Oat Bread with Walnuts and Yogurt,"[""300 g Banana, ripe, mashed"", ""200 g Flour, wheat, wholemeal"", ""150 g Oats, rolled"", ""2 piece Egg, raw"", ""100 g Yogurt, plain, low-fat"", ""80 g Honey"", ""50 g Walnuts, chopped"", ""30 g Olive oil"", ""5 g Baking powder"", ""3 g Cinnamon, ground"", ""2 g Salt""]","Preheat your oven to 180°C and line a 22 cm loaf tin with parchment paper. In a large bowl, mash the ripe bananas until smooth, then whisk in the eggs, yogurt, honey, and olive oil until well combined. In a separate bowl, mix the wholemeal flour, rolled oats, baking powder, cinnamon, and salt. Gradually fold the dry ingredients into the wet mixture until just combined, then stir in the chopped walnuts. Pour the batter into the prepared tin and smooth the top. Bake for 50-60 minutes, or until a toothpick inserted into the center comes out clean. Allow to cool in the tin for 10 minutes before transferring to a wire rack to cool completely. Slice and serve.",10,3580,102.0,118.0,540.0,20.0,200.0,48.0,4.8,650,20.0,520,1400,4200,10.0,80,70.0,300,2.0,8.0,40.0,400,1.2,2.2,1.8,12.0,3.5,6,healthy,5.0,2579.2999999999997,73.69999999999999,88.5,13.379999999999999,344.44999999999993,120.85000000000001,56.5,1004.2,375.0,18.1,12.42,57.7,58.2,2541.6,564.8,267.5,2.0069999999999997,1.006,355.5,2.0500000000000003,34.3,4.4,16.13,1030.0,1.0,1020.0,0.0,1020.0,10.0,3,3,3,3,12,unhealthy,3,3,3,3,12,unhealthy,3,1,0,1,0,0,0,1,5,1,1,1,1,0,0,1
grok4_fast_breakfast_8,grok4_fast,breakfast,Banana Breads,Healthy Oat and Banana Breakfast Bread,"[""200 g Banana, ripe, mashed"", ""150 g Whole wheat flour"", ""100 g Rolled oats"", ""2 piece Egg, raw"", ""100 g Greek yogurt, low-fat"", ""50 ml Vegetable oil"", ""50 g Honey"", ""5 g Baking powder"", ""2 g Cinnamon, ground"", ""2 g Salt"", ""50 g Walnuts, chopped""]","Preheat your oven to 180°C and grease a 20x10 cm loaf tin with a little oil. In a large bowl, mash the ripe bananas until smooth, then whisk in the eggs, Greek yogurt, vegetable oil, and honey until well combined. In a separate bowl, mix together the whole wheat flour, rolled oats, baking powder, cinnamon, and salt. Gradually stir the dry ingredients into the wet mixture until just combined, being careful not to overmix; the batter should be thick. Fold in the chopped walnuts. Pour the batter into the prepared loaf tin and smooth the top. Bake in the preheated oven for 50-60 minutes, or until a toothpick inserted into the center comes out clean. Allow the bread to cool in the tin for 10 minutes before transferring to a wire rack to cool completely. Slice into 8 portions and enjoy warm or at room temperature.",8,2800,78.0,118.0,362.0,18.0,102.0,32.0,5.2,650,15.0,420,1100,2400,8.5,40,55.0,180,2.5,12.0,22.0,320,1.2,1.4,1.1,12.0,2.1,6,healthy,5.0,2177.5,59.839999999999996,99.9,11.865,239.73000000000005,80.98,41.0,1002.5,326.7,13.779999999999998,9.709999999999999,51.2,58.050000000000004,1951.0,426.2,263.5,1.5219999999999998,0.904,284.4,2.0500000000000003,23.0,4.4,23.145,814.0,1.0,805.0,0.0,805.0,9.0,3,3,3,3,12,unhealthy,3,3,3,3,12,unhealthy,3,1,0,1,0,0,0,1,2,1,0,1,0,0,0,0
grok4_fast_breakfast_10,grok4_fast,breakfast,Banana Breads,Healthy Banana Oat Bread with Walnuts and Cinnamon,"[""250 g Bananas, raw, peeled"", ""200 g Whole wheat flour"", ""100 g Rolled oats"", ""2 piece Egg, raw"", ""80 g Greek yogurt, low-fat"", ""50 g Honey"", ""30 g Walnuts, raw"", ""20 g Rapeseed oil"", ""5 g Baking powder"", ""2 g Cinnamon, ground"", ""2 g Salt""]","Preheat your oven to 180°C and grease a 20x10 cm loaf tin with a little oil or line it with baking paper. In a large bowl, mash the peeled bananas with a fork until smooth. Add the eggs, Greek yogurt, honey, and rapeseed oil to the mashed bananas, and whisk together until well combined and smooth. In a separate bowl, mix the whole wheat flour, rolled oats, baking powder, cinnamon, and salt. Gradually stir the dry ingredients into the wet mixture until just combined, being careful not to overmix. Roughly chop the walnuts and fold them into the batter. Pour the batter into the prepared loaf tin and smooth the top with a spatula. Bake in the preheated oven for 50-60 minutes, or until a toothpick inserted into the center comes out clean. Allow the bread to cool in the tin for 10 minutes, then transfer to a wire rack to cool completely before slicing.",10,3120,95.0,95.0,470.0,15.0,130.0,45.0,4.8,650,18.0,500,1400,4200,12.0,120,80.0,300,4.0,8.0,35.0,400,2.0,2.2,1.8,20.0,4.5,6,healthy,5.0,2015.8,63.295,62.80499999999999,8.97,284.32,79.215,48.6,997.0,302.59999999999997,14.879999999999999,10.175,53.6,54.85000000000001,2239.8,463.5,254.80000000000004,1.7594999999999998,1.0475,250.5,1.9700000000000002,22.55,4.4,15.92,849.0,1.0,840.0,0.0,840.0,9.0,3,3,3,3,12,unhealthy,3,3,3,3,12,unhealthy,5,1,1,1,1,0,0,1,5,1,1,1,1,0,0,1
grok4_fast_breakfast_11,grok4_fast,breakfast,Biscuits,Healthy Oat and Almond Whole Wheat Biscuits,"[""200 g Whole wheat flour"", ""100 g Rolled oats"", ""50 g Almonds, ground"", ""1 tsp Baking powder"", ""0.5 tsp Salt"", ""1 tsp Cinnamon, ground"", ""50 g Butter, unsalted"", ""50 g Honey"", ""150 ml Milk, semi-skimmed"", ""1 piece Egg, raw"", ""50 g Raisins""]","Preheat your oven to 200°C and line a baking sheet with parchment paper. In a large bowl, whisk together the whole wheat flour, rolled oats, ground almonds, baking powder, salt, and cinnamon. In a separate bowl, beat the butter with the honey until creamy, then add the egg and milk, mixing well. Gradually stir the wet ingredients into the dry mixture until a soft dough forms; fold in the raisins. Turn the dough out onto a lightly floured surface and gently knead for 1 minute, then pat it into a 2 cm thick round. Cut out biscuits using a 6 cm round cutter, re-patting scraps as needed to make 8 biscuits. Place them on the prepared baking sheet and bake for 12-15 minutes until golden and firm to the touch. Transfer to a wire rack to cool completely.",8,2850,75.0,110.0,380.0,35.0,85.0,40.0,3.5,750,15.0,450,1200,2100,8.0,50,60.0,500,2.5,12.0,2.0,250,1.5,1.8,1.2,12.0,1.2,6,healthy,5.0,2163.8,63.974999999999994,82.17500000000001,31.34,268.165,84.465,48.0,1774.75,511.35,14.989999999999998,10.254999999999999,45.6,58.150000000000006,2080.0,502.1,500.75,1.7235,1.1995,177.7,1.775,1.0,8.25,18.93,719.0,1.0,705.0,0.0,705.0,14.0,3,3,3,3,12,unhealthy,3,3,3,3,12,unhealthy,2,1,0,0,0,0,0,1,2,1,0,0,0,0,0,1
