recipe_id,recipe_title,ingredient_raw,ingredient_name,amount,unit,grams,ignored,matched_food_id,matched_food_name,match_score
gpt54_nano_breakfast_1,"Wholemeal Bagels with Smoked Salmon, Avocado & Tomato",120 g wholemeal bagel,wholemeal bagel,120.0,g,120.0,False,5.454,"Bagels, home-made",2
gpt54_nano_breakfast_1,"Wholemeal Bagels with Smoked Salmon, Avocado & Tomato",80 g smoked salmon,smoked salmon,80.0,g,80.0,False,4.018,"Salmon, smoked",2
gpt54_nano_breakfast_1,"Wholemeal Bagels with Smoked Salmon, Avocado & Tomato","80 g avocado, raw","avocado, raw",80.0,g,80.0,False,6.524,"Avocado, raw",2
gpt54_nano_breakfast_1,"Wholemeal Bagels with Smoked Salmon, Avocado & Tomato","120 g tomato, fresh","tomato, fresh",120.0,g,120.0,False,6.069,"Tomato, Norwegian, raw",2
gpt54_nano_breakfast_1,"Wholemeal Bagels with Smoked Salmon, Avocado & Tomato",20 g low-fat Greek yoghurt,low-fat Greek yoghurt,20.0,g,20.0,False,1.334,"Yoghurt, plain, 2 % fat, Greek/Turkish",2
gpt54_nano_breakfast_1,"Wholemeal Bagels with Smoked Salmon, Avocado & Tomato",10 g lemon juice,lemon juice,10.0,g,10.0,False,6.729,"Lemon juice, bottled",2
gpt54_nano_breakfast_1,"Wholemeal Bagels with Smoked Salmon, Avocado & Tomato",5 g olive oil,olive oil,5.0,g,5.0,False,8.019,"Oil, olive",2
gpt54_nano_breakfast_1,"Wholemeal Bagels with Smoked Salmon, Avocado & Tomato",1 g black pepper,black pepper,1.0,g,1.0,True,,,-1
gpt54_nano_breakfast_1,"Wholemeal Bagels with Smoked Salmon, Avocado & Tomato",1 g salt,salt,1.0,g,1.0,True,,,-1
gpt54_nano_breakfast_2,"Wholegrain Bagels with Avocado, Smoked Salmon & Poached Egg",2 wholegrain bagels,wholegrain bagels,2.0,piece,,False,5.454,"Bagels, home-made",2
gpt54_nano_breakfast_2,"Wholegrain Bagels with Avocado, Smoked Salmon & Poached Egg","1 piece avocado, raw","avocado, raw",1.0,piece,60.0,False,6.524,"Avocado, raw",2
gpt54_nano_breakfast_2,"Wholegrain Bagels with Avocado, Smoked Salmon & Poached Egg",120 g smoked salmon,smoked salmon,120.0,g,120.0,False,4.018,"Salmon, smoked",2
gpt54_nano_breakfast_2,"Wholegrain Bagels with Avocado, Smoked Salmon & Poached Egg",2 piece eggs,eggs,2.0,piece,156.0,False,2.03,"Egg, organic, raw",2
gpt54_nano_breakfast_2,"Wholegrain Bagels with Avocado, Smoked Salmon & Poached Egg",1 tbsp olive oil,olive oil,1.0,tbsp,10.0,False,8.019,"Oil, olive",2
gpt54_nano_breakfast_2,"Wholegrain Bagels with Avocado, Smoked Salmon & Poached Egg",1 tsp lemon juice,lemon juice,1.0,tsp,5.0,False,6.729,"Lemon juice, bottled",2
gpt54_nano_breakfast_2,"Wholegrain Bagels with Avocado, Smoked Salmon & Poached Egg","1 g dill, fresh","dill, fresh",1.0,g,1.0,False,6.12,"Dill, raw",2
gpt54_nano_breakfast_2,"Wholegrain Bagels with Avocado, Smoked Salmon & Poached Egg","2 g black pepper, ground","black pepper, ground",2.0,g,2.0,True,,,-1
gpt54_nano_breakfast_2,"Wholegrain Bagels with Avocado, Smoked Salmon & Poached Egg",3 g sea salt,sea salt,3.0,g,3.0,True,,,-1
gpt54_nano_breakfast_3,"Whole-Grain Bagels with Smoked Salmon, Greek Yogurt Dill Spread & Cucumber",2 pieces whole-grain bagel,whole-grain bagel,2.0,pieces,,False,,,0
gpt54_nano_breakfast_3,"Whole-Grain Bagels with Smoked Salmon, Greek Yogurt Dill Spread & Cucumber",120 g smoked salmon,smoked salmon,120.0,g,120.0,False,4.018,"Salmon, smoked",2
gpt54_nano_breakfast_3,"Whole-Grain Bagels with Smoked Salmon, Greek Yogurt Dill Spread & Cucumber","150 g Greek yogurt, low-fat (5% fat)","Greek yogurt, low-fat (5% fat)",150.0,g,150.0,False,1.334,"Yoghurt, plain, 2 % fat, Greek/Turkish",2
gpt54_nano_breakfast_3,"Whole-Grain Bagels with Smoked Salmon, Greek Yogurt Dill Spread & Cucumber","1 tbsp olive oil, extra virgin","olive oil, extra virgin",1.0,tbsp,10.0,False,8.019,"Oil, olive",2
gpt54_nano_breakfast_3,"Whole-Grain Bagels with Smoked Salmon, Greek Yogurt Dill Spread & Cucumber",1 tbsp lemon juice,lemon juice,1.0,tbsp,15.0,False,6.729,"Lemon juice, bottled",2
gpt54_nano_breakfast_3,"Whole-Grain Bagels with Smoked Salmon, Greek Yogurt Dill Spread & Cucumber",1 tbsp fresh dill,fresh dill,1.0,tbsp,15.0,False,6.12,"Dill, raw",2
gpt54_nano_breakfast_3,"Whole-Grain Bagels with Smoked Salmon, Greek Yogurt Dill Spread & Cucumber",150 g cucumber,cucumber,150.0,g,150.0,False,6.01,"Cucumber, Norwegian, raw",2
gpt54_nano_breakfast_3,"Whole-Grain Bagels with Smoked Salmon, Greek Yogurt Dill Spread & Cucumber","1 g black pepper, ground","black pepper, ground",1.0,g,1.0,True,,,-1
gpt54_nano_breakfast_4,"Whole-Grain Bagel Halves with Avocado, Smoked Salmon and Poached Egg",2 wholegrain bagels,wholegrain bagels,2.0,piece,,False,5.454,"Bagels, home-made",2
gpt54_nano_breakfast_4,"Whole-Grain Bagel Halves with Avocado, Smoked Salmon and Poached Egg",80 g smoked salmon,smoked salmon,80.0,g,80.0,False,4.018,"Salmon, smoked",2
gpt54_nano_breakfast_4,"Whole-Grain Bagel Halves with Avocado, Smoked Salmon and Poached Egg",1 medium egg,egg,1.0,medium,56.0,False,2.03,"Egg, organic, raw",2
gpt54_nano_breakfast_4,"Whole-Grain Bagel Halves with Avocado, Smoked Salmon and Poached Egg","160 g avocado, raw","avocado, raw",160.0,g,160.0,False,6.524,"Avocado, raw",2
gpt54_nano_breakfast_4,"Whole-Grain Bagel Halves with Avocado, Smoked Salmon and Poached Egg",1 tbsp lemon juice,lemon juice,1.0,tbsp,15.0,False,6.729,"Lemon juice, bottled",2
gpt54_nano_breakfast_4,"Whole-Grain Bagel Halves with Avocado, Smoked Salmon and Poached Egg",1 tbsp low-fat plain Greek yogurt,low-fat plain Greek yogurt,1.0,tbsp,15.0,False,1.334,"Yoghurt, plain, 2 % fat, Greek/Turkish",2
gpt54_nano_breakfast_4,"Whole-Grain Bagel Halves with Avocado, Smoked Salmon and Poached Egg",10 g fresh dill,fresh dill,10.0,g,10.0,False,6.12,"Dill, raw",2
gpt54_nano_breakfast_4,"Whole-Grain Bagel Halves with Avocado, Smoked Salmon and Poached Egg",1 g sea salt,sea salt,1.0,g,1.0,True,,,-1
gpt54_nano_breakfast_4,"Whole-Grain Bagel Halves with Avocado, Smoked Salmon and Poached Egg",0.5 g black pepper,black pepper,0.5,g,0.5,True,,,-1
gpt54_nano_breakfast_5,"Whole-Grain Bagels with Smoked Salmon, Avocado & Dill","2 medium bagels, whole-grain, unsweetened","bagels, whole-grain, unsweetened",2.0,medium,,False,,,0
gpt54_nano_breakfast_5,"Whole-Grain Bagels with Smoked Salmon, Avocado & Dill",120 g smoked salmon,smoked salmon,120.0,g,120.0,False,4.018,"Salmon, smoked",2
gpt54_nano_breakfast_5,"Whole-Grain Bagels with Smoked Salmon, Avocado & Dill",1 medium avocado,avocado,1.0,medium,60.0,False,6.524,"Avocado, raw",2
gpt54_nano_breakfast_5,"Whole-Grain Bagels with Smoked Salmon, Avocado & Dill",120 g low-fat Greek yogurt (2% fat),low-fat Greek yogurt (2% fat),120.0,g,120.0,False,1.334,"Yoghurt, plain, 2 % fat, Greek/Turkish",2
gpt54_nano_breakfast_5,"Whole-Grain Bagels with Smoked Salmon, Avocado & Dill",10 g fresh dill,fresh dill,10.0,g,10.0,False,6.12,"Dill, raw",2
gpt54_nano_breakfast_5,"Whole-Grain Bagels with Smoked Salmon, Avocado & Dill",1 tbsp lemon juice,lemon juice,1.0,tbsp,15.0,False,6.729,"Lemon juice, bottled",2
gpt54_nano_breakfast_5,"Whole-Grain Bagels with Smoked Salmon, Avocado & Dill","1 tsp capers, rinsed","capers, rinsed",1.0,tsp,5.0,False,6.129,"Capers, canned",2
gpt54_nano_breakfast_5,"Whole-Grain Bagels with Smoked Salmon, Avocado & Dill",1 tsp olive oil,olive oil,1.0,tsp,4.5,False,8.019,"Oil, olive",2
gpt54_nano_breakfast_5,"Whole-Grain Bagels with Smoked Salmon, Avocado & Dill",2 pinches sea salt,sea salt,2.0,pinches,,True,,,-1
gpt54_nano_breakfast_5,"Whole-Grain Bagels with Smoked Salmon, Avocado & Dill",1 pinch black pepper,black pepper,1.0,pinch,,True,,,-1
gpt54_nano_breakfast_6,Wholegrain Banana Oat Bread with Walnuts and Greek Yogurt,"300 g bananas, ripe, mashed","bananas, ripe, mashed",300.0,g,300.0,False,173944.0,"Bananas, raw",2
gpt54_nano_breakfast_6,Wholegrain Banana Oat Bread with Walnuts and Greek Yogurt,150 g rolled oats,rolled oats,150.0,g,150.0,False,5.004,Oatmeal,2
gpt54_nano_breakfast_6,Wholegrain Banana Oat Bread with Walnuts and Greek Yogurt,120 g whole wheat flour,whole wheat flour,120.0,g,120.0,False,5.006,"Wheat flour, wholemeal",2
gpt54_nano_breakfast_6,Wholegrain Banana Oat Bread with Walnuts and Greek Yogurt,"60 g plain Greek yogurt, low fat 2%","plain Greek yogurt, low fat 2%",60.0,g,60.0,False,1.334,"Yoghurt, plain, 2 % fat, Greek/Turkish",2
gpt54_nano_breakfast_6,Wholegrain Banana Oat Bread with Walnuts and Greek Yogurt,60 ml rapeseed oil,rapeseed oil,0.6,dl,54.0,False,8.235,"Oil, rapeseed",2
gpt54_nano_breakfast_6,Wholegrain Banana Oat Bread with Walnuts and Greek Yogurt,"2 large eggs, raw","eggs, raw",2.0,large,110.0,False,2.03,"Egg, organic, raw",2
gpt54_nano_breakfast_6,Wholegrain Banana Oat Bread with Walnuts and Greek Yogurt,"80 g walnuts, chopped","walnuts, chopped",80.0,g,80.0,False,6.56,Walnuts,2
gpt54_nano_breakfast_6,Wholegrain Banana Oat Bread with Walnuts and Greek Yogurt,10 g baking powder,baking powder,10.0,g,10.0,True,,,-1
gpt54_nano_breakfast_6,Wholegrain Banana Oat Bread with Walnuts and Greek Yogurt,3 g ground cinnamon,ground cinnamon,3.0,g,3.0,True,,,-1
gpt54_nano_breakfast_6,Wholegrain Banana Oat Bread with Walnuts and Greek Yogurt,2 g fine salt,fine salt,2.0,g,2.0,True,,,-1
gpt54_nano_breakfast_6,Wholegrain Banana Oat Bread with Walnuts and Greek Yogurt,30 g honey,honey,30.0,g,30.0,False,9.003,Honey,2
gpt54_nano_breakfast_7,Whole-Grain Banana Oat Breads with Walnuts and Cinnamon,"260 g ripe bananas, mashed","ripe bananas, mashed",260.0,g,260.0,False,173944.0,"Bananas, raw",2
gpt54_nano_breakfast_7,Whole-Grain Banana Oat Breads with Walnuts and Cinnamon,"180 g Greek yogurt, plain, low-fat","Greek yogurt, plain, low-fat",180.0,g,180.0,False,1.334,"Yoghurt, plain, 2 % fat, Greek/Turkish",2
gpt54_nano_breakfast_7,Whole-Grain Banana Oat Breads with Walnuts and Cinnamon,80 g whole rolled oats,whole rolled oats,80.0,g,80.0,False,5.004,Oatmeal,2
gpt54_nano_breakfast_7,Whole-Grain Banana Oat Breads with Walnuts and Cinnamon,120 g whole wheat flour,whole wheat flour,120.0,g,120.0,False,5.006,"Wheat flour, wholemeal",2
gpt54_nano_breakfast_7,Whole-Grain Banana Oat Breads with Walnuts and Cinnamon,"60 g walnuts, chopped","walnuts, chopped",60.0,g,60.0,False,6.56,Walnuts,2
gpt54_nano_breakfast_7,Whole-Grain Banana Oat Breads with Walnuts and Cinnamon,"2 pieces eggs, whole","eggs, whole",2.0,pieces,156.0,False,2.03,"Egg, organic, raw",2
gpt54_nano_breakfast_7,Whole-Grain Banana Oat Breads with Walnuts and Cinnamon,60 ml rapeseed oil,rapeseed oil,0.6,dl,54.0,False,8.235,"Oil, rapeseed",2
gpt54_nano_breakfast_7,Whole-Grain Banana Oat Breads with Walnuts and Cinnamon,10 g baking powder,baking powder,10.0,g,10.0,True,,,-1
gpt54_nano_breakfast_7,Whole-Grain Banana Oat Breads with Walnuts and Cinnamon,5 g ground cinnamon,ground cinnamon,5.0,g,5.0,True,,,-1
gpt54_nano_breakfast_7,Whole-Grain Banana Oat Breads with Walnuts and Cinnamon,2 g fine salt,fine salt,2.0,g,2.0,True,,,-1
gpt54_nano_breakfast_7,Whole-Grain Banana Oat Breads with Walnuts and Cinnamon,30 g honey,honey,30.0,g,30.0,False,9.003,Honey,2
gpt54_nano_breakfast_7,Whole-Grain Banana Oat Breads with Walnuts and Cinnamon,5 ml vanilla extract,vanilla extract,0.05,dl,4.75,True,,,-1
gpt54_nano_breakfast_8,Wholewheat Banana Oat Bread with Cinnamon and Walnuts,"2 large bananas, ripe, mashed","bananas, ripe, mashed",2.0,large,240.0,False,173944.0,"Bananas, raw",2
gpt54_nano_breakfast_8,Wholewheat Banana Oat Bread with Cinnamon and Walnuts,180 g rolled oats,rolled oats,180.0,g,180.0,False,5.004,Oatmeal,2
gpt54_nano_breakfast_8,Wholewheat Banana Oat Bread with Cinnamon and Walnuts,120 g wholewheat flour,wholewheat flour,120.0,g,120.0,False,5.006,"Wheat flour, wholemeal",2
gpt54_nano_breakfast_8,Wholewheat Banana Oat Bread with Cinnamon and Walnuts,2 tsp baking powder,baking powder,2.0,tsp,11.0,True,,,-1
