recipe_id,recipe_title,ingredient_raw,ingredient_name,amount,unit,grams,ignored,matched_food_id,matched_food_name,match_score
gemini_flash_breakfast_1,"Smoked Salmon, Avocado & Dill Whole Wheat Bagel","1 piece Bagel, whole wheat","Bagel, whole wheat",1.0,piece,40.0,False,5.454,"Bagels, home-made",2
gemini_flash_breakfast_1,"Smoked Salmon, Avocado & Dill Whole Wheat Bagel","30 g Cream cheese, light, plain","Cream cheese, light, plain",30.0,g,30.0,False,1.269,"Cream cheese, Philadelphia",2
gemini_flash_breakfast_1,"Smoked Salmon, Avocado & Dill Whole Wheat Bagel","50 g Salmon, smoked","Salmon, smoked",50.0,g,50.0,False,4.018,"Salmon, smoked",2
gemini_flash_breakfast_1,"Smoked Salmon, Avocado & Dill Whole Wheat Bagel","50 g Avocado, raw","Avocado, raw",50.0,g,50.0,False,6.524,"Avocado, raw",2
gemini_flash_breakfast_1,"Smoked Salmon, Avocado & Dill Whole Wheat Bagel","30 g Cucumber, fresh","Cucumber, fresh",30.0,g,30.0,False,6.01,"Cucumber, Norwegian, raw",2
gemini_flash_breakfast_1,"Smoked Salmon, Avocado & Dill Whole Wheat Bagel","5 g Dill, fresh, chopped","Dill, fresh, chopped",5.0,g,5.0,False,6.12,"Dill, raw",2
gemini_flash_breakfast_1,"Smoked Salmon, Avocado & Dill Whole Wheat Bagel","5 ml Lemon juice, fresh","Lemon juice, fresh",0.05,dl,5.0,False,6.729,"Lemon juice, bottled",2
gemini_flash_breakfast_1,"Smoked Salmon, Avocado & Dill Whole Wheat Bagel","1 g Pepper, black, ground","Pepper, black, ground",1.0,g,1.0,False,12.111,"Pepper, black",2
gemini_flash_breakfast_2,"Hearty Whole Wheat Bagel with Smoked Salmon, Avocado, and Light Cream Cheese","2 pieces Bagel, whole wheat","Bagel, whole wheat",2.0,pieces,80.0,False,5.454,"Bagels, home-made",2
gemini_flash_breakfast_2,"Hearty Whole Wheat Bagel with Smoked Salmon, Avocado, and Light Cream Cheese","60 g Cream cheese, light","Cream cheese, light",60.0,g,60.0,False,1.269,"Cream cheese, Philadelphia",2
gemini_flash_breakfast_2,"Hearty Whole Wheat Bagel with Smoked Salmon, Avocado, and Light Cream Cheese","100 g Salmon, smoked","Salmon, smoked",100.0,g,100.0,False,4.018,"Salmon, smoked",2
gemini_flash_breakfast_2,"Hearty Whole Wheat Bagel with Smoked Salmon, Avocado, and Light Cream Cheese","150 g Avocado, raw","Avocado, raw",150.0,g,150.0,False,6.524,"Avocado, raw",2
gemini_flash_breakfast_2,"Hearty Whole Wheat Bagel with Smoked Salmon, Avocado, and Light Cream Cheese","30 g Spinach, raw","Spinach, raw",30.0,g,30.0,False,6.064,"Spinach, raw",2
gemini_flash_breakfast_2,"Hearty Whole Wheat Bagel with Smoked Salmon, Avocado, and Light Cream Cheese","2 g Black pepper, ground","Black pepper, ground",2.0,g,2.0,True,,,-1
gemini_flash_breakfast_3,Smoked Salmon and Avocado Whole Wheat Bagel,"1 piece Bagel, whole wheat","Bagel, whole wheat",1.0,piece,40.0,False,5.454,"Bagels, home-made",2
gemini_flash_breakfast_3,Smoked Salmon and Avocado Whole Wheat Bagel,"30 g Cream cheese, light, plain","Cream cheese, light, plain",30.0,g,30.0,False,1.269,"Cream cheese, Philadelphia",2
gemini_flash_breakfast_3,Smoked Salmon and Avocado Whole Wheat Bagel,50 g Smoked salmon,Smoked salmon,50.0,g,50.0,False,4.018,"Salmon, smoked",2
gemini_flash_breakfast_3,Smoked Salmon and Avocado Whole Wheat Bagel,"0.5 piece Avocado, ripe","Avocado, ripe",0.5,piece,30.0,False,6.524,"Avocado, raw",2
gemini_flash_breakfast_3,Smoked Salmon and Avocado Whole Wheat Bagel,"10 g Spinach, fresh","Spinach, fresh",10.0,g,10.0,False,6.064,"Spinach, raw",2
gemini_flash_breakfast_3,Smoked Salmon and Avocado Whole Wheat Bagel,"10 g Red onion, raw, thinly sliced","Red onion, raw, thinly sliced",10.0,g,10.0,False,6.042,"Onion, Norwegian, raw",2
gemini_flash_breakfast_3,Smoked Salmon and Avocado Whole Wheat Bagel,"5 ml Lemon juice, fresh","Lemon juice, fresh",0.05,dl,5.0,False,6.729,"Lemon juice, bottled",2
gemini_flash_breakfast_3,Smoked Salmon and Avocado Whole Wheat Bagel,"0.5 g Black pepper, ground","Black pepper, ground",0.5,g,0.5,True,,,-1
gemini_flash_breakfast_4,Smoked Salmon & Dill Cream Cheese Bagel with Fresh Greens,"1 piece Bagel, whole wheat","Bagel, whole wheat",1.0,piece,40.0,False,5.454,"Bagels, home-made",2
gemini_flash_breakfast_4,Smoked Salmon & Dill Cream Cheese Bagel with Fresh Greens,"30 g Cream cheese, light","Cream cheese, light",30.0,g,30.0,False,1.269,"Cream cheese, Philadelphia",2
gemini_flash_breakfast_4,Smoked Salmon & Dill Cream Cheese Bagel with Fresh Greens,"50 g Salmon, smoked","Salmon, smoked",50.0,g,50.0,False,4.018,"Salmon, smoked",2
gemini_flash_breakfast_4,Smoked Salmon & Dill Cream Cheese Bagel with Fresh Greens,"30 g Spinach, baby","Spinach, baby",30.0,g,30.0,False,6.064,"Spinach, raw",2
gemini_flash_breakfast_4,Smoked Salmon & Dill Cream Cheese Bagel with Fresh Greens,"60 g Tomato, medium","Tomato, medium",60.0,g,60.0,False,6.069,"Tomato, Norwegian, raw",2
gemini_flash_breakfast_4,Smoked Salmon & Dill Cream Cheese Bagel with Fresh Greens,"20 g Onion, red","Onion, red",20.0,g,20.0,False,6.042,"Onion, Norwegian, raw",2
gemini_flash_breakfast_4,Smoked Salmon & Dill Cream Cheese Bagel with Fresh Greens,"5 g Dill, fresh","Dill, fresh",5.0,g,5.0,False,6.12,"Dill, raw",2
gemini_flash_breakfast_5,Smoked Salmon and Dill Cream Cheese Bagel with Cucumber,"1 piece Bagel, whole wheat, medium","Bagel, whole wheat, medium",1.0,piece,58.0,False,5.454,"Bagels, home-made",2
gemini_flash_breakfast_5,Smoked Salmon and Dill Cream Cheese Bagel with Cucumber,"50 g Cream cheese, light, plain","Cream cheese, light, plain",50.0,g,50.0,False,1.269,"Cream cheese, Philadelphia",2
gemini_flash_breakfast_5,Smoked Salmon and Dill Cream Cheese Bagel with Cucumber,"50 g Salmon, smoked, slices","Salmon, smoked, slices",50.0,g,50.0,False,4.018,"Salmon, smoked",2
gemini_flash_breakfast_5,Smoked Salmon and Dill Cream Cheese Bagel with Cucumber,"50 g Cucumber, fresh","Cucumber, fresh",50.0,g,50.0,False,6.01,"Cucumber, Norwegian, raw",2
gemini_flash_breakfast_5,Smoked Salmon and Dill Cream Cheese Bagel with Cucumber,"2 g Dill, fresh","Dill, fresh",2.0,g,2.0,False,6.12,"Dill, raw",2
gemini_flash_breakfast_5,Smoked Salmon and Dill Cream Cheese Bagel with Cucumber,"5 ml Lemon juice, fresh","Lemon juice, fresh",0.05,dl,5.0,False,6.729,"Lemon juice, bottled",2
gemini_flash_breakfast_6,Healthy Whole Wheat Banana Walnut Bread,"3 piece Banana, ripe, raw","Banana, ripe, raw",3.0,piece,360.0,False,6.525,"Banana, raw",2
gemini_flash_breakfast_6,Healthy Whole Wheat Banana Walnut Bread,"250 g Flour, whole wheat","Flour, whole wheat",250.0,g,250.0,False,5.006,"Wheat flour, wholemeal",2
gemini_flash_breakfast_6,Healthy Whole Wheat Banana Walnut Bread,"2 piece Egg, raw","Egg, raw",2.0,piece,110.0,False,2.03,"Egg, organic, raw",2
gemini_flash_breakfast_6,Healthy Whole Wheat Banana Walnut Bread,60 ml Maple syrup,Maple syrup,0.6,dl,84.0,False,170276.0,"Syrup, maple, Canadian",2
gemini_flash_breakfast_6,Healthy Whole Wheat Banana Walnut Bread,60 ml Olive oil,Olive oil,0.6,dl,54.0,False,8.019,"Oil, olive",2
gemini_flash_breakfast_6,Healthy Whole Wheat Banana Walnut Bread,"120 ml Milk, low fat, 1.5% fat","Milk, low fat, 1.5% fat",1.2,dl,120.0,False,1.231,"Milk, semi-skimmed, 0,5 % fat, unspecified",2
