recipe_id,model,category,meal_type,title,ingredients_json,instructions,servings,claimed_energy_kcal,claimed_protein_g,claimed_fat_g,claimed_carbs_g,claimed_saturated_fat_g,claimed_sugar_g,claimed_fiber_g,claimed_salt_g,claimed_calcium_mg,claimed_iron_mg,claimed_magnesium_mg,claimed_phosphorus_mg,claimed_potassium_mg,claimed_zinc_mg,claimed_iodine_ug,claimed_selenium_ug,claimed_vitamin_a_rae_ug,claimed_vitamin_d_ug,claimed_vitamin_e_mg,claimed_vitamin_c_mg,claimed_folate_ug,claimed_vitamin_b12_ug,claimed_vitamin_b1_mg,claimed_vitamin_b2_mg,claimed_vitamin_b3_mg,claimed_vitamin_b6_mg,claimed_fsa_score,claimed_fsa_category,claimed_who_score,calculated_calories.quantity,calculated_protein,calculated_fat,calculated_saturated_fatty_acids,calculated_carbohydrate,calculated_sugar_total,calculated_dietary_fibre,calculated_sodium_(na),calculated_calcium_(ca),calculated_iron_(fe),calculated_zinc_(zn),calculated_selenium_(se),calculated_iodine_(i),calculated_potassium_(k),calculated_magnesium_(mg),calculated_vitamin_a_(rae),calculated_vitamin_b1_(thiamin),calculated_vitamin_b2_(riboflavin),calculated_vitamin_b9_(folate),calculated_vitamin_b12_(cobalamin),calculated_vitamin_c_(askorbic_acid),calculated_vitamin_d,calculated_vitamin_e,total_recipe_weight_g,match_coverage,matched_grams,no_match_grams,considered_grams,ignored_grams,calculated_fsa_fat_score,calculated_fsa_sat_fat_score,calculated_fsa_sugar_score,calculated_fsa_salt_score,calculated_fsa_score,calculated_fsa_category,claimed_calc_fsa_fat_score,claimed_calc_fsa_sat_fat_score,claimed_calc_fsa_sugar_score,claimed_calc_fsa_salt_score,claimed_calc_fsa_score,claimed_calc_fsa_category,calculated_who_score,calculated_who_protein,calculated_who_fat,calculated_who_sat_fat,calculated_who_carbs,calculated_who_sugar,calculated_who_salt,calculated_who_fibre,claimed_calc_who_score,claimed_calc_who_protein,claimed_calc_who_fat,claimed_calc_who_sat_fat,claimed_calc_who_carbs,claimed_calc_who_sugar,claimed_calc_who_salt,claimed_calc_who_fibre
gpt54_nano_breakfast_1,gpt54_nano,breakfast,Bagels,"Wholemeal Bagels with Smoked Salmon, Avocado & Tomato","[""120 g wholemeal bagel"", ""80 g smoked salmon"", ""80 g avocado, raw"", ""120 g tomato, fresh"", ""20 g low-fat Greek yoghurt"", ""10 g lemon juice"", ""5 g olive oil"", ""1 g black pepper"", ""1 g salt""]","Slice the wholemeal bagel in half and toast it in a toaster or under a grill for 2–3 minutes until the cut sides are lightly crisp and golden. Mash the avocado in a bowl and stir in the lemon juice and Greek yoghurt until creamy. Chop the tomato and drain any excess juices if it looks watery. Spread the avocado mixture generously on the toasted bagel halves. Top with smoked salmon, add the chopped tomato, then drizzle with the olive oil and finish with black pepper and a little salt. Serve immediately while the bagel is still warm.",2,650,34.0,30.0,63.0,5.0,6.0,13.0,4.0,150.0,4.0,95.0,520.0,850.0,4.0,35.0,32.0,180.0,5.0,3.5,25.0,140.0,6.0,0.3,0.4,9.0,0.6,8.0,healthy,5.0,758.3999999999999,33.18,43.11000000000001,9.419999999999998,55.62,6.34,8.41,1974.8999999999999,138.89999999999998,2.6699999999999995,2.4800000000000004,29.3,14.93,1370.0,112.70000000000002,95.5,0.637,0.32900000000000007,92.49999999999999,3.88,23.6,6.84,6.76,437.0,1.0,435.0,0.0,435.0,2.0,3,3,1,3,10,unhealthy,3,1,1,3,8,moderate,1,0,0,0,0,1,0,0,3,0,0,1,0,1,0,1
gpt54_nano_breakfast_2,gpt54_nano,breakfast,Bagels,"Wholegrain Bagels with Avocado, Smoked Salmon & Poached Egg","[""2 wholegrain bagels"", ""1 piece avocado, raw"", ""120 g smoked salmon"", ""2 piece eggs"", ""1 tbsp olive oil"", ""1 tsp lemon juice"", ""1 g dill, fresh"", ""2 g black pepper, ground"", ""3 g sea salt""]","Slice the avocado and mash the flesh in a bowl with lemon juice, half the dill, black pepper, and a pinch of the sea salt. Fill a small saucepan with water and bring it to a gentle simmer, then crack the eggs into separate cups and slide them into the water one at a time. Poach for about 3–4 minutes until the whites are set but the yolks are still runny. Toast the wholegrain bagels until they are golden. Brush the cut sides lightly with olive oil, then spread with the avocado mixture. Top each bagel with smoked salmon and a poached egg, and finish with the remaining dill and a tiny bit of sea salt.",2,860,52.0,44.0,69.0,10.0,8.0,16.0,6.2,220.0,6.2,150.0,650.0,980.0,6.2,42.0,70.0,320.0,6.0,6.2,15.0,220.0,4.5,0.7,0.8,14.0,0.9,9.0,healthy,5.0,702.44,48.49,55.691,10.329,0.8370000000000001,0.8370000000000001,1.8249999999999997,2895.92,106.29,3.648,2.574,86.0,69.305,1091.17,72.74999999999999,322.44,0.5266,0.8111999999999999,116.65,7.859999999999999,3.1,15.24,16.778,357.0,1.0,352.0,0.0,352.0,5.0,3,3,1,3,10,unhealthy,3,3,1,3,10,unhealthy,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1
gpt54_nano_breakfast_3,gpt54_nano,breakfast,Bagels,"Whole-Grain Bagels with Smoked Salmon, Greek Yogurt Dill Spread & Cucumber","[""2 pieces whole-grain bagel"", ""120 g smoked salmon"", ""150 g Greek yogurt, low-fat (5% fat)"", ""1 tbsp olive oil, extra virgin"", ""1 tbsp lemon juice"", ""1 tbsp fresh dill"", ""150 g cucumber"", ""1 g black pepper, ground""]","Toast the whole-grain bagels until they are golden and crisp, then cut them in half. In a bowl, mix the low-fat Greek yogurt with lemon juice and chopped fresh dill, then season with the ground black pepper. Spread the dill yogurt generously over the toasted bagels. Layer the smoked salmon on top, then slice the cucumber thinly and pile it on for crunch. Drizzle the olive oil lightly over the top and serve immediately while the bagels are still warm.",2,790,52.0,26.0,92.0,6.5,7.5,14.0,5.1,520.0,4.9,150.0,680.0,980.0,5.8,70.0,60.0,240.0,6.0,3.8,8.5,180.0,8.2,0.6,0.8,10.5,0.9,7.0,healthy,6.0,490.59999999999997,36.38000000000001,31.754999999999995,6.635000000000001,14.024999999999999,13.424999999999997,1.5150000000000001,1533.9,257.55,1.92,1.7999999999999998,39.6,34.575,1241.55,85.94999999999999,157.8,0.528,0.44999999999999996,53.849999999999994,6.119999999999999,27.9,9.0,5.709999999999999,461.0,1.0,460.0,0.0,460.0,1.0,3,3,1,3,10,unhealthy,3,3,1,3,10,unhealthy,0,0,0,0,0,0,0,0,4,0,1,1,0,1,0,1
gpt54_nano_breakfast_4,gpt54_nano,breakfast,Bagels,"Whole-Grain Bagel Halves with Avocado, Smoked Salmon and Poached Egg","[""2 wholegrain bagels"", ""80 g smoked salmon"", ""1 medium egg"", ""160 g avocado, raw"", ""1 tbsp lemon juice"", ""1 tbsp low-fat plain Greek yogurt"", ""10 g fresh dill"", ""1 g sea salt"", ""0.5 g black pepper""]","Halve the whole-grain bagels and toast them in a toaster or dry pan over medium heat until the cut sides are golden and crisp. While the bagels toast, bring a small saucepan of water to a gentle simmer and add a splash of lemon juice. Crack the egg into a cup, then slide it into the simmering water and poach for about 3 to 4 minutes until the white is set and the yolk is still soft. Mash the avocado with the lemon juice, Greek yogurt, half the dill, sea salt, and black pepper until creamy. Spread the avocado mixture over the toasted bagel halves, top with smoked salmon, and place the poached egg on top. Finish with the remaining dill and serve immediately while the bagels are still warm.",2,760,49.0,33.0,70.0,7.5,6.5,16.0,3.2,220.0,4.2,110.0,520.0,980.0,6.6,70.0,48.0,180.0,5.8,3.6,16.0,165.0,3.2,0.6,0.5,11.2,0.6,8.0,healthy,5.0,584.01,29.51,49.5,8.968,2.6630000000000003,2.603,5.015000000000001,1478.0500000000002,108.62,2.708,2.1660000000000004,42.669999999999995,31.514999999999997,1468.5500000000002,80.97,179.00000000000003,0.45420000000000005,0.5239,101.99000000000001,4.579999999999999,14.0,8.24,9.816,337.5,1.0,336.0,0.0,336.0,1.5,3,3,1,3,10,unhealthy,3,3,1,3,10,unhealthy,1,0,0,0,0,1,0,0,3,0,0,1,0,1,0,1
gpt54_nano_breakfast_5,gpt54_nano,breakfast,Bagels,"Whole-Grain Bagels with Smoked Salmon, Avocado & Dill","[""2 medium bagels, whole-grain, unsweetened"", ""120 g smoked salmon"", ""1 medium avocado"", ""120 g low-fat Greek yogurt (2% fat)"", ""10 g fresh dill"", ""1 tbsp lemon juice"", ""1 tsp capers, rinsed"", ""1 tsp olive oil"", ""2 pinches sea salt"", ""1 pinch black pepper""]","Halve the whole-grain bagels and toast them until they are golden and crisp at the edges. Mash the avocado in a bowl with the lemon juice, black pepper, and half of the chopped dill. In a second bowl, stir the Greek yogurt with the remaining dill, capers, a small drizzle of olive oil, and a little sea salt. Spread the avocado mixture over the toasted bagels, top with the smoked salmon, and finish with a spoonful of the herbed yogurt sauce. Serve immediately while the bagels are still warm, and you should see lightly crisp edges and a creamy, well-combined topping.",2,780,49.0,33.0,78.0,7.0,6.0,13.0,4.9,540.0,6.8,160.0,760.0,980.0,6.5,55.0,43.0,115.0,4.5,7.2,14.0,240.0,6.2,0.45,0.35,11.0,0.7,8.0,healthy,5.0,517.19,34.844,37.129999999999995,7.37,9.99,9.51,2.1649999999999996,1658.7000000000003,196.64999999999998,1.55,1.755,38.89999999999999,29.784999999999993,1211.2,78.1,112.8,0.4985,0.4175,50.1,6.0,13.2,9.0,5.962999999999999,334.5,1.0,334.5,0.0,334.5,0.0,3,3,1,3,10,unhealthy,3,3,1,3,10,unhealthy,1,0,0,0,0,1,0,0,3,0,0,1,0,1,0,1
gpt54_nano_breakfast_6,gpt54_nano,breakfast,Banana Breads,Wholegrain Banana Oat Bread with Walnuts and Greek Yogurt,"[""300 g bananas, ripe, mashed"", ""150 g rolled oats"", ""120 g whole wheat flour"", ""60 g plain Greek yogurt, low fat 2%"", ""60 ml rapeseed oil"", ""2 large eggs, raw"", ""80 g walnuts, chopped"", ""10 g baking powder"", ""3 g ground cinnamon"", ""2 g fine salt"", ""30 g honey""]","Heat the oven to 180°C (160°C fan). Line a loaf tin (about 900 g capacity) with baking paper. In a large bowl, mash the bananas until mostly smooth, then whisk in the eggs, Greek yogurt and rapeseed oil until well combined. Stir in the honey and cinnamon. Add the oats, whole wheat flour, baking powder and salt, then mix until you have a thick batter. Fold in the chopped walnuts and scrape the batter into the tin. Bake for 45–55 minutes, until the top is golden and a skewer inserted into the centre comes out clean or with only a few moist crumbs. Let the bread cool in the tin for 10 minutes, then transfer to a rack to cool fully before slicing.",8,2320,77.0,118.0,262.0,14.0,88.0,46.0,8.0,440.0,11.5,260.0,920.0,1950.0,7.8,40.0,80.0,180.0,3.0,9.0,15.0,320.0,1.7,1.1,0.9,14.0,1.2,7.0,healthy,5.0,2549.48,65.27799999999999,129.88,13.608,265.94,69.19,50.0,989.2,314.79999999999995,15.97,10.900000000000002,59.4,51.550000000000004,2235.2,505.40000000000003,248.10000000000002,1.5549999999999997,1.101,307.80000000000007,1.8900000000000001,27.2,4.4,25.782000000000004,919.0,1.0,904.0,0.0,904.0,15.0,3,3,3,3,12,unhealthy,3,3,3,3,12,unhealthy,3,1,0,1,0,0,0,1,3,1,0,1,0,0,0,1
gpt54_nano_breakfast_7,gpt54_nano,breakfast,Banana Breads,Whole-Grain Banana Oat Breads with Walnuts and Cinnamon,"[""260 g ripe bananas, mashed"", ""180 g Greek yogurt, plain, low-fat"", ""80 g whole rolled oats"", ""120 g whole wheat flour"", ""60 g walnuts, chopped"", ""2 pieces eggs, whole"", ""60 ml rapeseed oil"", ""10 g baking powder"", ""5 g ground cinnamon"", ""2 g fine salt"", ""30 g honey"", ""5 ml vanilla extract""]","Preheat your oven to 175°C and line a loaf pan with baking paper. In a large bowl, mash the bananas until mostly smooth, then whisk in the eggs, Greek yogurt, rapeseed oil, honey, and vanilla until the mixture looks creamy and evenly combined. Stir in the oats, whole wheat flour, baking powder, cinnamon, and salt, mixing just until no dry flour remains. Fold in the chopped walnuts, then pour the batter into the prepared pan and smooth the top. Bake for 45–55 minutes, until the loaf is golden and a skewer inserted in the center comes out clean or with only a few moist crumbs. Let it cool in the pan for 10 minutes, then transfer to a rack to cool further before slicing.",8,2120,78.0,109.0,226.0,13.0,78.0,36.0,2.0,1040.0,9.0,310.0,1120.0,1640.0,8.5,25.0,60.0,320.0,3.6,6.8,14.0,420.0,3.2,0.9,0.8,15.0,1.4,7.0,healthy,5.0,2267.74,64.77200000000002,121.31799999999998,15.581199999999999,220.022,71.876,37.760000000000005,1102.8,430.32,13.084,9.706000000000001,67.52000000000001,88.23,2321.8,416.32000000000005,385.79999999999995,1.3818,1.3342,283.84000000000003,3.06,23.52,6.24,28.158,961.75,1.0,940.0,0.0,940.0,21.75,3,3,3,3,12,unhealthy,3,3,3,3,12,unhealthy,3,1,0,1,0,0,0,1,3,1,0,1,0,0,0,1
gpt54_nano_breakfast_8,gpt54_nano,breakfast,Banana Breads,Wholewheat Banana Oat Bread with Cinnamon and Walnuts,"[""2 large bananas, ripe, mashed"", ""180 g rolled oats"", ""120 g wholewheat flour"", ""2 tsp baking powder"", ""1 tsp ground cinnamon"", ""80 g plain Greek yogurt, non-fat"", ""2 large eggs, raw"", ""60 ml rapeseed oil"", ""50 g walnuts, chopped"", ""1 pinch salt"", ""1 tbsp honey""]","Preheat your oven to 180°C and line a loaf tin with baking paper. In a large bowl, mash the ripe bananas until mostly smooth, then stir in the Greek yogurt, eggs, oil, and honey until well combined. In a second bowl, mix the oats, wholewheat flour, baking powder, cinnamon, and salt. Add the dry ingredients to the wet mixture and stir just until no dry flour remains. Fold in the chopped walnuts, then scrape the batter into the prepared tin and smooth the top. Bake for 45–55 minutes, until the bread is deep golden and a skewer inserted into the center comes out clean or with a few moist crumbs. Let it cool in the tin for 10 minutes before lifting it out to cool fully on a rack, then slice.",8,2640,92.0,126.0,274.0,20.0,86.0,56.0,1.8,620.0,16.0,330.0,1230.0,2350.0,10.0,25.0,60.0,210.0,4.0,7.0,18.0,220.0,3.0,1.2,0.9,16.0,0.9,8.0,healthy,5.0,2393.42,64.87,111.572,12.7008,266.024,56.42,50.54,196.57999999999998,322.82,16.282,10.884000000000002,62.5,54.71000000000001,1956.64,486.24,254.50000000000003,1.5584,1.049,268.54,1.9700000000000002,21.599999999999998,4.4,25.712,872.0,1.0,856.0,0.0,856.0,16.0,3,3,3,1,10,unhealthy,3,3,3,1,10,unhealthy,5,1,0,1,0,1,1,1,4,1,0,1,0,0,1,1
gpt54_nano_breakfast_9,gpt54_nano,breakfast,Banana Breads,Wholegrain Banana Oat Bread with Walnuts and Cinnamon,"[""3 piece Banana, ripe"", ""200 g Rolled oats"", ""120 g Whole wheat flour"", ""80 g Walnuts, chopped"", ""2 piece Egg, whole, raw"", ""120 ml Plain low-fat yogurt"", ""60 ml Rapeseed oil"", ""3 g Baking powder"", ""2 g Baking soda"", ""4 g Ground cinnamon"", ""2 g Fine salt""]","Heat the oven to 180°C and line a loaf tin with baking paper. Mash the bananas in a large bowl until mostly smooth, then whisk in the eggs, yogurt, and rapeseed oil. Stir in the oats, whole wheat flour, baking powder, baking soda, cinnamon, and salt, mixing until you have a thick batter. Fold in the chopped walnuts, then spoon the batter into the tin and smooth the top. Bake for about 45–55 minutes, until the loaf is deep golden and a skewer inserted in the center comes out clean or with a few moist crumbs. Let the banana bread cool in the tin for 10 minutes, then transfer to a rack to cool further before slicing.",8,3090,103.0,147.0,361.0,18.0,99.0,70.0,2.0,940.0,17.5,360.0,1120.0,2320.0,8.6,18.0,75.0,220.0,2.4,12.5,12.0,420.0,2.1,1.3,1.2,10.5,0.9,8.0,healthy,5.0,2734.2799999999997,74.57800000000002,133.37,15.062000000000001,281.57,68.93,56.400000000000006,1009.5,416.1,18.46,12.770000000000001,63.6,61.0,2548.0,589.2,278.1,1.781,1.0250000000000001,401.40000000000003,2.13,40.4,4.4,27.022000000000002,1055.0,1.0,1044.0,0.0,1044.0,11.0,3,3,3,3,12,unhealthy,3,3,3,3,12,unhealthy,3,1,0,1,0,0,0,1,4,1,0,1,0,0,1,1
gpt54_nano_breakfast_10,gpt54_nano,breakfast,Banana Breads,Whole-Grain Banana Bread with Walnuts and Cinnamon,"[""220 g ripe bananas, mashed"", ""140 g whole wheat flour"", ""80 g rolled oats"", ""120 g nonfat Greek yogurt"", ""2 piece eggs, raw"", ""30 g walnuts, chopped"", ""60 g honey"", ""60 ml olive oil"", ""1 tsp baking powder"", ""1 tsp baking soda"", ""1 tsp ground cinnamon"", ""2 g fine salt""]","Preheat your oven to 175°C and line a loaf pan with baking paper. Mash the bananas thoroughly until mostly smooth. In a large bowl, whisk the eggs, honey, olive oil, and Greek yogurt until the mixture looks glossy. Stir in the mashed bananas. Add the whole wheat flour, rolled oats, baking powder, baking soda, cinnamon, and salt, then mix just until no dry flour pockets remain. Fold in the chopped walnuts. Pour the batter into the pan and bake for 45–55 minutes, until the top is golden and a skewer inserted into the center comes out clean or with a few moist crumbs. Let the banana bread cool in the pan for 10 minutes, then transfer to a rack to cool completely before slicing.",8,2538,88.0,116.0,284.0,19.0,88.0,46.0,7.0,1210.0,15.0,326.0,1030.0,1870.0,8.5,65.0,90.0,260.0,6.0,12.0,12.0,390.0,2.0,0.9,1.1,26.0,0.9,9.0,moderate,4.0,2079.48,54.425999999999995,95.26599999999999,15.4364,240.65800000000002,85.63600000000001,37.220000000000006,1012.9,319.09999999999997,12.001999999999999,8.489999999999998,51.1,61.3,1967.2,373.99999999999994,270.3,1.3522,1.0176,219.29999999999998,2.13,20.040000000000003,4.4,17.945999999999998,832.0,1.0,814.0,0.0,814.0,18.0,3,3,3,3,12,unhealthy,3,3,3,3,12,unhealthy,3,1,0,1,0,0,0,1,3,1,0,1,0,0,0,1
