recipe_id,recipe_title,ingredient_raw,ingredient_name,amount,unit,grams,ignored,matched_food_id,matched_food_name,match_score
grok_fast_breakfast_1,Whole Wheat Bagels with Smoked Salmon and Avocado,2 pieces Whole wheat bagels,Whole wheat bagels,2.0,pieces,80.0,False,5.454,"Bagels, home-made",2
grok_fast_breakfast_1,Whole Wheat Bagels with Smoked Salmon and Avocado,100 g Smoked salmon,Smoked salmon,100.0,g,100.0,False,4.018,"Salmon, smoked",2
grok_fast_breakfast_1,Whole Wheat Bagels with Smoked Salmon and Avocado,"1 piece Avocado, ripe","Avocado, ripe",1.0,piece,60.0,False,6.524,"Avocado, raw",2
grok_fast_breakfast_1,Whole Wheat Bagels with Smoked Salmon and Avocado,"50 g Cream cheese, light","Cream cheese, light",50.0,g,50.0,False,1.269,"Cream cheese, Philadelphia",2
grok_fast_breakfast_1,Whole Wheat Bagels with Smoked Salmon and Avocado,1 tbsp Lemon juice,Lemon juice,1.0,tbsp,15.0,False,6.729,"Lemon juice, bottled",2
grok_fast_breakfast_1,Whole Wheat Bagels with Smoked Salmon and Avocado,"10 g Red onion, thinly sliced","Red onion, thinly sliced",10.0,g,10.0,False,6.042,"Onion, Norwegian, raw",2
grok_fast_breakfast_1,Whole Wheat Bagels with Smoked Salmon and Avocado,5 g Capers,Capers,5.0,g,5.0,False,6.129,"Capers, canned",2
grok_fast_breakfast_1,Whole Wheat Bagels with Smoked Salmon and Avocado,"10 g Fresh dill, chopped","Fresh dill, chopped",10.0,g,10.0,False,6.12,"Dill, raw",2
grok_fast_breakfast_2,Whole Wheat Bagels with Smoked Salmon and Avocado,"2 pieces Whole wheat bagels, pre-made","Whole wheat bagels, pre-made",2.0,pieces,80.0,False,5.454,"Bagels, home-made",2
grok_fast_breakfast_2,Whole Wheat Bagels with Smoked Salmon and Avocado,"100 g Smoked salmon, sliced","Smoked salmon, sliced",100.0,g,100.0,False,4.018,"Salmon, smoked",2
grok_fast_breakfast_2,Whole Wheat Bagels with Smoked Salmon and Avocado,"1 piece Avocado, medium, ripe","Avocado, medium, ripe",1.0,piece,60.0,False,6.524,"Avocado, raw",2
grok_fast_breakfast_2,Whole Wheat Bagels with Smoked Salmon and Avocado,"50 g Cream cheese, light","Cream cheese, light",50.0,g,50.0,False,1.269,"Cream cheese, Philadelphia",2
grok_fast_breakfast_2,Whole Wheat Bagels with Smoked Salmon and Avocado,"1 piece Tomato, medium, sliced","Tomato, medium, sliced",1.0,piece,95.0,False,6.069,"Tomato, Norwegian, raw",2
