recipe_id,model,category,meal_type,title,ingredients_json,instructions,servings,claimed_energy_kcal,claimed_protein_g,claimed_fat_g,claimed_carbs_g,claimed_saturated_fat_g,claimed_sugar_g,claimed_fiber_g,claimed_salt_g,claimed_calcium_mg,claimed_iron_mg,claimed_magnesium_mg,claimed_phosphorus_mg,claimed_potassium_mg,claimed_zinc_mg,claimed_iodine_ug,claimed_selenium_ug,claimed_vitamin_a_rae_ug,claimed_vitamin_d_ug,claimed_vitamin_e_mg,claimed_vitamin_c_mg,claimed_folate_ug,claimed_vitamin_b12_ug,claimed_vitamin_b1_mg,claimed_vitamin_b2_mg,claimed_vitamin_b3_mg,claimed_vitamin_b6_mg,claimed_fsa_score,claimed_fsa_category,claimed_who_score
grok_fast_breakfast_1,grok_fast,breakfast,Bagels,Whole Wheat Bagels with Smoked Salmon and Avocado,"[""2 pieces Whole wheat bagels"", ""100 g Smoked salmon"", ""1 piece Avocado, ripe"", ""50 g Cream cheese, light"", ""1 tbsp Lemon juice"", ""10 g Red onion, thinly sliced"", ""5 g Capers"", ""10 g Fresh dill, chopped""]","Start by slicing the whole wheat bagels in half and toasting them lightly in a toaster or under a grill until they are golden and crisp. While the bagels are toasting, peel and slice the avocado into thin wedges and set aside. Once the bagels are ready, spread a thin layer of light cream cheese on each half. Layer the smoked salmon evenly over the cream cheese, followed by a few slices of avocado. Sprinkle a few drops of lemon juice over the avocado to enhance the flavor and prevent browning. Add a few thin slices of red onion and a scattering of capers for a touch of sharpness. Finally, garnish with a pinch of chopped fresh dill for a burst of herbaceous freshness. Serve immediately while the bagels are still warm.",2,800,40,35,80,8,6,12,2.5,200,5,100,400,900,3,50,30,150,5,6,15,120,3,0.5,0.4,8,0.7,6,healthy,5
grok_fast_breakfast_2,grok_fast,breakfast,Bagels,Whole Wheat Bagels with Smoked Salmon and Avocado,"[""2 pieces Whole wheat bagels, pre-made"", ""100 g Smoked salmon, sliced"", ""1 piece Avocado, medium, ripe"", ""50 g Cream cheese, light"", ""1 piece Tomato, medium, sliced"", ""30 g Red onion, thinly sliced"", ""10 g Fresh dill, chopped"", ""1 tbsp Lemon juice, fresh""]","Start by slicing the whole wheat bagels in half horizontally and toasting them lightly in a toaster or under a grill until they are just golden. While the bagels are toasting, peel and slice the avocado thinly, and squeeze the lemon juice over the slices to prevent browning. Once the bagels are toasted, spread a thin layer of light cream cheese on each half. Layer the smoked salmon evenly over the cream cheese, followed by a few slices of avocado and tomato. Add a sprinkle of thinly sliced red onion for a bit of bite, and finish with a pinch of fresh dill on top for flavor and garnish. Serve immediately while the bagels are still warm and crisp.",2,780,40,30,85,7,8,12,2.5,200,5,100,400,900,3,50,30,150,5,6,20,120,3,0.5,0.4,8,0.6,6,healthy,5
grok_fast_breakfast_3,grok_fast,breakfast,Bagels,Whole Wheat Bagel with Smoked Salmon and Avocado,"[""2 piece Whole wheat bagel, medium"", ""100 g Smoked salmon, sliced"", ""1 piece Avocado, medium, ripe"", ""50 g Cream cheese, light"", ""1 tbsp Lemon juice, fresh"", ""20 g Red onion, thinly sliced"", ""10 g Capers, drained"", ""2 tsp Olive oil"", ""5 g Fresh dill, chopped""]","Start by slicing the whole wheat bagels in half and toasting them lightly until they are golden and crisp. While the bagels are toasting, peel and slice the avocado into thin wedges and drizzle with fresh lemon juice to prevent browning. Spread a thin layer of light cream cheese on each toasted bagel half. Layer the smoked salmon evenly over the cream cheese, then arrange the avocado slices on top. Sprinkle the thinly sliced red onion and capers over the avocado. Drizzle a small amount of olive oil over each bagel for added richness. Finally, garnish with chopped fresh dill for a burst of flavor. Serve immediately while the bagels are still warm.",2,900,40,35,100,8,10,15,3,200,5,120,400,1000,3,50,30,150,10,5,20,150,3,0.5,0.4,8,0.6,5,healthy,6
grok_fast_breakfast_4,grok_fast,breakfast,Bagels,Whole Grain Bagel with Smoked Salmon and Avocado,"[""2 pieces Whole grain bagels"", ""100 g Smoked salmon"", ""1 piece Avocado, medium (about 150 g)"", ""50 g Cream cheese, light"", ""1 tbsp Lemon juice"", ""30 g Red onion, thinly sliced"", ""10 g Fresh dill, chopped"", ""2 tsp Capers"", ""1 tbsp Olive oil""]","Start by slicing the whole grain bagels in half and toasting them lightly until they are golden and crisp. While the bagels are toasting, peel and slice the avocado into thin wedges and drizzle with lemon juice to prevent browning. Spread a thin layer of light cream cheese on each bagel half. Layer the smoked salmon evenly over the cream cheese, followed by a few slices of avocado on each. Sprinkle the thinly sliced red onion, capers, and chopped fresh dill over the top for added flavor and texture. Finish with a small drizzle of olive oil on each bagel half to enhance the richness. Serve immediately while the bagels are still warm for the best taste and texture.",2,900,40,45,85,10,8,12,3.5,150,4.5,80,400,900,3,50,30,200,5,6,15,120,3.5,0.5,0.6,8,0.7,6,healthy,5
grok_fast_breakfast_5,grok_fast,breakfast,Bagels,Whole Wheat Bagel with Avocado and Smoked Salmon,"[""2 pieces Whole wheat bagels, sliced"", ""100 g Smoked salmon, thinly sliced"", ""1 piece Avocado, ripe, medium size (about 150 g)"", ""50 g Cream cheese, light"", ""1 tbsp Lemon juice, fresh"", ""10 g Red onion, thinly sliced"", ""5 g Capers, drained"", ""2 tsp Olive oil""]","Start by slicing the whole wheat bagels in half and toasting them lightly in a toaster or under a grill until they are golden and crisp. While the bagels are toasting, peel and pit the avocado, then mash it in a small bowl with the lemon juice until smooth. Spread a thin layer of light cream cheese on each bagel half, followed by a generous layer of the mashed avocado. Lay the thinly sliced smoked salmon over the avocado on each bagel half. Top with a few slices of red onion and a sprinkle of capers for a burst of flavor. Finally, drizzle a small amount of olive oil over the top for added richness. Serve immediately while the bagels are still warm.",2,920,42,38,98,8,6,12,2.8,180,6,120,400,1100,3,60,40,150,8,5,15,200,3,0.6,0.5,10,0.8,5,healthy,6
grok_fast_breakfast_6,grok_fast,breakfast,Banana Breads,Healthy Banana Walnut Bread,"[""2 pieces Banana, ripe, medium size"", ""2 pieces Egg, raw"", ""100 ml Greek yogurt, plain, low-fat"", ""50 ml Honey, pure"", ""200 g Whole wheat flour"", ""50 g Rolled oats"", ""1 tsp Baking soda"", ""1 tsp Baking powder"", ""1 tsp Cinnamon, ground"", ""50 g Walnuts, chopped"", ""30 ml Olive oil""]","Preheat your oven to 175 degrees Celsius and lightly grease a 9x5-inch loaf pan with a bit of olive oil or line it with parchment paper. In a large mixing bowl, mash the ripe bananas with a fork until smooth. Add the eggs, Greek yogurt, honey, and olive oil to the mashed bananas, and whisk everything together until well combined. In a separate bowl, mix the whole wheat flour, rolled oats, baking soda, baking powder, and cinnamon. Gradually fold the dry ingredients into the wet mixture, stirring gently until just combined; be careful not to overmix. Fold in the chopped walnuts for added texture and flavor. Pour the batter into the prepared loaf pan and smooth the top with a spatula. Bake for 50-60 minutes, or until a toothpick inserted into the center comes out clean. If the top starts to brown too quickly, tent it with aluminum foil after about 30 minutes. Let the banana bread cool in the pan for 10 minutes before transferring it to a wire rack to cool completely. Slice and serve warm or at room temperature.",8,1800,45,65,260,10,90,30,2,400,10,200,600,1600,5,50,40,200,2,8,20,120,1.5,0.8,0.9,5,1.2,5,healthy,6
grok_fast_breakfast_7,grok_fast,breakfast,Banana Breads,Healthy Whole Wheat Banana Bread with Walnuts,"[""3 pieces Banana, ripe, medium size"", ""2 pieces Egg, raw, large"", ""100 ml Olive oil, extra virgin"", ""100 g Honey, pure"", ""200 g Whole wheat flour"", ""50 g Rolled oats, old-fashioned"", ""1 tsp Baking soda"", ""1 tsp Baking powder"", ""1 tsp Cinnamon, ground"", ""0.5 tsp Salt, table"", ""50 g Walnuts, chopped""]","Preheat your oven to 175 degrees Celsius and lightly grease a 9x5 inch loaf pan with a bit of olive oil or line it with parchment paper. In a large mixing bowl, mash the ripe bananas with a fork until smooth. Add the eggs, olive oil, and honey to the mashed bananas, and whisk until everything is well combined. In a separate bowl, mix the whole wheat flour, rolled oats, baking soda, baking powder, cinnamon, and salt. Gradually fold the dry ingredients into the wet mixture, stirring just until incorporated to avoid overmixing. Gently fold in the chopped walnuts for added texture and nutrition. Pour the batter into the prepared loaf pan, smoothing the top with a spatula. Bake for 50 to 60 minutes, or until a toothpick inserted into the center comes out clean. If the top starts to brown too quickly, tent it with aluminum foil after about 30 minutes. Let the banana bread cool in the pan for 10 minutes before transferring it to a wire rack to cool completely. Slice and serve once cooled, enjoying the moist texture and nutty flavor.",8,2400,55,110,320,15,120,35,2.5,300,10,200,600,1800,5,20,30,200,2,12,30,150,1,0.8,0.9,6,1.2,5,healthy,6
grok_fast_breakfast_8,grok_fast,breakfast,Banana Breads,Healthy Banana Walnut Bread,"[""3 pieces Banana, ripe, medium"", ""2 pieces Egg, raw"", ""100 ml Greek yogurt, plain, non-fat"", ""50 ml Honey"", ""1 tsp Vanilla extract"", ""180 g Whole wheat flour"", ""1 tsp Baking soda"", ""1 tsp Cinnamon, ground"", ""50 g Walnuts, chopped"", ""30 ml Olive oil""]","Preheat your oven to 175 degrees Celsius and grease a 9x5-inch loaf pan with a little olive oil or line it with parchment paper. In a large mixing bowl, mash the ripe bananas with a fork until smooth. Add the eggs, Greek yogurt, honey, vanilla extract, and olive oil to the mashed bananas, and whisk until everything is well combined. In a separate bowl, mix the whole wheat flour, baking soda, and cinnamon. Gradually fold the dry ingredients into the wet mixture, stirring just until combined to avoid overmixing. Gently fold in the chopped walnuts. Pour the batter into the prepared loaf pan and smooth the top with a spatula. Bake for 50-60 minutes, or until a toothpick inserted into the center comes out clean. If the top starts to brown too quickly, tent it with foil after about 30 minutes. Let the bread cool in the pan for 10 minutes before transferring it to a wire rack to cool completely. Slice and serve.",8,1800,45,60,270,8,90,30,1.5,300,8,200,600,1800,5,50,40,200,2,10,30,150,1,0.8,0.6,5,1.2,5,healthy,6
grok_fast_breakfast_9,grok_fast,breakfast,Banana Breads,Healthy Banana Walnut Bread,"[""2 piece Banana, ripe, medium size"", ""200 g Whole wheat flour"", ""50 g Rolled oats"", ""2 piece Egg, raw"", ""100 ml Greek yogurt, plain, non-fat"", ""50 ml Honey"", ""50 g Walnuts, chopped"", ""1 tsp Baking powder"", ""1 tsp Baking soda"", ""1 tsp Cinnamon, ground"", ""1 tbsp Olive oil""]","Preheat your oven to 180°C and lightly grease a 23x13 cm loaf pan with a bit of olive oil or line it with parchment paper. In a large mixing bowl, mash the ripe bananas with a fork until smooth. Add the eggs, Greek yogurt, honey, and olive oil to the mashed bananas, and whisk until everything is well combined. In a separate bowl, mix the whole wheat flour, rolled oats, baking powder, baking soda, and cinnamon. Gradually fold the dry ingredients into the wet mixture, stirring just until combined to avoid overmixing. Gently fold in the chopped walnuts for added texture and flavor. Pour the batter into the prepared loaf pan and smooth the top with a spatula. Bake in the preheated oven for 50-60 minutes, or until a toothpick inserted into the center comes out clean. If the top starts to brown too quickly after about 30 minutes, tent it with foil. Let the banana bread cool in the pan for 10 minutes before transferring it to a wire rack to cool completely. Slice and serve once cooled.",8,1800,50,60,250,8,80,30,2,400,10,200,600,1500,5,50,30,200,2,8,20,150,1,1.2,1.5,5,1.8,5,healthy,6
grok_fast_breakfast_10,grok_fast,breakfast,Banana Breads,Whole Wheat Banana Bread with Walnuts,"[""2 piece Banana, ripe, medium-sized"", ""2 piece Egg, raw, large"", ""100 ml Greek yogurt, plain, non-fat"", ""60 ml Honey, natural"", ""1 tsp Vanilla extract"", ""180 g Whole wheat flour"", ""1 tsp Baking soda"", ""0.5 tsp Baking powder"", ""0.5 tsp Cinnamon, ground"", ""0.25 tsp Salt"", ""50 g Walnuts, chopped""]","Preheat your oven to 175 degrees Celsius and lightly grease a 9x5-inch loaf pan with a bit of oil or line it with parchment paper. In a large mixing bowl, mash the ripe bananas with a fork until smooth. Add the eggs, Greek yogurt, honey, and vanilla extract to the mashed bananas, and whisk everything together until well combined. In a separate bowl, mix the whole wheat flour, baking soda, baking powder, cinnamon, and salt. Gradually fold the dry ingredients into the wet mixture, stirring just until everything is incorporated; be careful not to overmix. Gently fold in the chopped walnuts to distribute them evenly throughout the batter. Pour the batter into the prepared loaf pan and smooth the top with a spatula. Bake in the preheated oven for 50 to 60 minutes, or until a toothpick inserted into the center comes out clean. If the top starts to brown too quickly, tent it with foil after about 40 minutes. Let the banana bread cool in the pan for 10 minutes before transferring it to a wire rack to cool completely. Slice and serve once cooled, or store in an airtight container for up to 5 days.",8,1600,45,40,270,6,90,30,2.5,300,8,200,600,1800,5,50,30,200,2,5,20,150,1.5,0.8,0.9,6,1.2,5,healthy,6
