recipe_id,recipe_title,ingredient_raw,ingredient_name,amount,unit,grams,ignored,matched_food_id,matched_food_name,match_score
gpt54_mini_breakfast_1,Smoked Salmon and Avocado Wholegrain Bagels with Dill Yogurt,"2 pieces wholegrain bagel, plain","wholegrain bagel, plain",2.0,pieces,160.0,False,5.454,"Bagels, home-made",2
gpt54_mini_breakfast_1,Smoked Salmon and Avocado Wholegrain Bagels with Dill Yogurt,"120 g smoked salmon, sliced","smoked salmon, sliced",120.0,g,120.0,False,4.018,"Salmon, smoked",2
gpt54_mini_breakfast_1,Smoked Salmon and Avocado Wholegrain Bagels with Dill Yogurt,"1 piece avocado, raw","avocado, raw",1.0,piece,60.0,False,6.524,"Avocado, raw",2
gpt54_mini_breakfast_1,Smoked Salmon and Avocado Wholegrain Bagels with Dill Yogurt,"80 g Greek yogurt, plain, low fat","Greek yogurt, plain, low fat",80.0,g,80.0,False,1.334,"Yoghurt, plain, 2 % fat, Greek/Turkish",2
gpt54_mini_breakfast_1,Smoked Salmon and Avocado Wholegrain Bagels with Dill Yogurt,10 g fresh dill,fresh dill,10.0,g,10.0,False,6.12,"Dill, raw",2
gpt54_mini_breakfast_1,Smoked Salmon and Avocado Wholegrain Bagels with Dill Yogurt,20 g red onion,red onion,20.0,g,20.0,False,6.042,"Onion, Norwegian, raw",2
gpt54_mini_breakfast_1,Smoked Salmon and Avocado Wholegrain Bagels with Dill Yogurt,50 g cucumber,cucumber,50.0,g,50.0,False,6.01,"Cucumber, Norwegian, raw",2
gpt54_mini_breakfast_1,Smoked Salmon and Avocado Wholegrain Bagels with Dill Yogurt,10 ml lemon juice,lemon juice,0.1,dl,10.0,False,6.729,"Lemon juice, bottled",2
gpt54_mini_breakfast_1,Smoked Salmon and Avocado Wholegrain Bagels with Dill Yogurt,"2 g black pepper, ground","black pepper, ground",2.0,g,2.0,True,,,-1
gpt54_mini_breakfast_1,Smoked Salmon and Avocado Wholegrain Bagels with Dill Yogurt,2 g sesame seeds,sesame seeds,2.0,g,2.0,False,5.03,"Sesame seeds, with shell",2
gpt54_mini_breakfast_2,Smoked Salmon and Avocado Wholegrain Bagels with Lemon-Dill Yogurt,"2 piece Wholegrain bagel, plain","Wholegrain bagel, plain",2.0,piece,160.0,False,5.454,"Bagels, home-made",2
gpt54_mini_breakfast_2,Smoked Salmon and Avocado Wholegrain Bagels with Lemon-Dill Yogurt,"120 g Smoked salmon, sliced","Smoked salmon, sliced",120.0,g,120.0,False,4.018,"Salmon, smoked",2
