recipe_id,recipe_title,ingredient_raw,ingredient_name,amount,unit,grams,ignored,matched_food_id,matched_food_name,match_score
grok4_fast_breakfast_1,"Open-Faced Whole Grain Bagel with Avocado, Smoked Salmon, and Poached Egg","75 g Bagel, whole wheat","Bagel, whole wheat",75.0,g,75.0,False,5.454,"Bagels, home-made",2
grok4_fast_breakfast_1,"Open-Faced Whole Grain Bagel with Avocado, Smoked Salmon, and Poached Egg","50 g Avocado, raw","Avocado, raw",50.0,g,50.0,False,6.524,"Avocado, raw",2
grok4_fast_breakfast_1,"Open-Faced Whole Grain Bagel with Avocado, Smoked Salmon, and Poached Egg","75 g Salmon, smoked","Salmon, smoked",75.0,g,75.0,False,4.018,"Salmon, smoked",2
grok4_fast_breakfast_1,"Open-Faced Whole Grain Bagel with Avocado, Smoked Salmon, and Poached Egg","1 piece Egg, raw, poached (50 g)","Egg, raw, poached (50 g)",1.0,piece,55.0,False,172186.0,"Egg, whole, cooked, poached",2
grok4_fast_breakfast_1,"Open-Faced Whole Grain Bagel with Avocado, Smoked Salmon, and Poached Egg","15 g Cream cheese, plain","Cream cheese, plain",15.0,g,15.0,False,1.269,"Cream cheese, Philadelphia",2
grok4_fast_breakfast_1,"Open-Faced Whole Grain Bagel with Avocado, Smoked Salmon, and Poached Egg","5 g Red onion, raw, sliced","Red onion, raw, sliced",5.0,g,5.0,False,6.042,"Onion, Norwegian, raw",2
grok4_fast_breakfast_1,"Open-Faced Whole Grain Bagel with Avocado, Smoked Salmon, and Poached Egg","10 g Tomato, raw, sliced","Tomato, raw, sliced",10.0,g,10.0,False,6.069,"Tomato, Norwegian, raw",2
grok4_fast_breakfast_1,"Open-Faced Whole Grain Bagel with Avocado, Smoked Salmon, and Poached Egg",5 g Capers,Capers,5.0,g,5.0,False,6.129,"Capers, canned",2
grok4_fast_breakfast_1,"Open-Faced Whole Grain Bagel with Avocado, Smoked Salmon, and Poached Egg","2 g Dill, fresh, chopped","Dill, fresh, chopped",2.0,g,2.0,False,6.12,"Dill, raw",2
grok4_fast_breakfast_1,"Open-Faced Whole Grain Bagel with Avocado, Smoked Salmon, and Poached Egg",5 ml Lemon juice,Lemon juice,0.05,dl,5.0,False,6.729,"Lemon juice, bottled",2
grok4_fast_breakfast_2,"Whole Grain Bagels with Avocado, Smoked Salmon, and Poached Egg","120 g Bagel, whole wheat","Bagel, whole wheat",120.0,g,120.0,False,5.454,"Bagels, home-made",2
grok4_fast_breakfast_2,"Whole Grain Bagels with Avocado, Smoked Salmon, and Poached Egg","100 g Avocado, raw","Avocado, raw",100.0,g,100.0,False,6.524,"Avocado, raw",2
grok4_fast_breakfast_2,"Whole Grain Bagels with Avocado, Smoked Salmon, and Poached Egg","80 g Salmon, smoked","Salmon, smoked",80.0,g,80.0,False,4.018,"Salmon, smoked",2
grok4_fast_breakfast_2,"Whole Grain Bagels with Avocado, Smoked Salmon, and Poached Egg","1 piece Egg, raw, large","Egg, raw, large",1.0,piece,55.0,False,2.03,"Egg, organic, raw",2
grok4_fast_breakfast_2,"Whole Grain Bagels with Avocado, Smoked Salmon, and Poached Egg","20 g Cream cheese, plain","Cream cheese, plain",20.0,g,20.0,False,1.269,"Cream cheese, Philadelphia",2
grok4_fast_breakfast_2,"Whole Grain Bagels with Avocado, Smoked Salmon, and Poached Egg","15 g Onion, red, raw","Onion, red, raw",15.0,g,15.0,False,6.042,"Onion, Norwegian, raw",2
grok4_fast_breakfast_2,"Whole Grain Bagels with Avocado, Smoked Salmon, and Poached Egg",5 g Capers,Capers,5.0,g,5.0,False,6.129,"Capers, canned",2
grok4_fast_breakfast_2,"Whole Grain Bagels with Avocado, Smoked Salmon, and Poached Egg",10 g Lemon juice,Lemon juice,10.0,g,10.0,False,6.729,"Lemon juice, bottled",2
grok4_fast_breakfast_2,"Whole Grain Bagels with Avocado, Smoked Salmon, and Poached Egg","2 g Dill, fresh","Dill, fresh",2.0,g,2.0,False,6.12,"Dill, raw",2
grok4_fast_breakfast_2,"Whole Grain Bagels with Avocado, Smoked Salmon, and Poached Egg","50 ml Water, for poaching","Water, for poaching",0.5,dl,32.5,True,,,-1
grok4_fast_breakfast_3,"Whole Grain Bagel with Avocado, Smoked Salmon and Poached Egg","100 g Bagel, whole wheat","Bagel, whole wheat",100.0,g,100.0,False,5.454,"Bagels, home-made",2
grok4_fast_breakfast_3,"Whole Grain Bagel with Avocado, Smoked Salmon and Poached Egg","100 g Avocado, raw","Avocado, raw",100.0,g,100.0,False,6.524,"Avocado, raw",2
grok4_fast_breakfast_3,"Whole Grain Bagel with Avocado, Smoked Salmon and Poached Egg","80 g Salmon, smoked","Salmon, smoked",80.0,g,80.0,False,4.018,"Salmon, smoked",2
grok4_fast_breakfast_3,"Whole Grain Bagel with Avocado, Smoked Salmon and Poached Egg","1 piece Egg, raw, large","Egg, raw, large",1.0,piece,55.0,False,2.03,"Egg, organic, raw",2
grok4_fast_breakfast_3,"Whole Grain Bagel with Avocado, Smoked Salmon and Poached Egg","10 g Cream cheese, plain","Cream cheese, plain",10.0,g,10.0,False,1.269,"Cream cheese, Philadelphia",2
grok4_fast_breakfast_3,"Whole Grain Bagel with Avocado, Smoked Salmon and Poached Egg",5 g Lemon juice,Lemon juice,5.0,g,5.0,False,6.729,"Lemon juice, bottled",2
grok4_fast_breakfast_3,"Whole Grain Bagel with Avocado, Smoked Salmon and Poached Egg","2 g Dill, fresh, chopped","Dill, fresh, chopped",2.0,g,2.0,False,6.12,"Dill, raw",2
grok4_fast_breakfast_3,"Whole Grain Bagel with Avocado, Smoked Salmon and Poached Egg",1 g Salt,Salt,1.0,g,1.0,True,,,-1
grok4_fast_breakfast_3,"Whole Grain Bagel with Avocado, Smoked Salmon and Poached Egg",50 ml Water,Water,0.5,dl,32.5,True,,,-1
grok4_fast_breakfast_4,"Toasted Whole Wheat Bagels with Avocado, Smoked Salmon and Poached Eggs","2 pieces Bagel, whole wheat","Bagel, whole wheat",2.0,pieces,80.0,False,5.454,"Bagels, home-made",2
grok4_fast_breakfast_4,"Toasted Whole Wheat Bagels with Avocado, Smoked Salmon and Poached Eggs","100 g Avocado, raw","Avocado, raw",100.0,g,100.0,False,6.524,"Avocado, raw",2
grok4_fast_breakfast_4,"Toasted Whole Wheat Bagels with Avocado, Smoked Salmon and Poached Eggs","100 g Salmon, smoked","Salmon, smoked",100.0,g,100.0,False,4.018,"Salmon, smoked",2
grok4_fast_breakfast_4,"Toasted Whole Wheat Bagels with Avocado, Smoked Salmon and Poached Eggs","2 pieces Egg, raw, medium","Egg, raw, medium",2.0,pieces,110.0,False,2.03,"Egg, organic, raw",2
grok4_fast_breakfast_4,"Toasted Whole Wheat Bagels with Avocado, Smoked Salmon and Poached Eggs","15 g Cream cheese, plain","Cream cheese, plain",15.0,g,15.0,False,1.269,"Cream cheese, Philadelphia",2
grok4_fast_breakfast_4,"Toasted Whole Wheat Bagels with Avocado, Smoked Salmon and Poached Eggs","10 g Onion, red, raw","Onion, red, raw",10.0,g,10.0,False,6.042,"Onion, Norwegian, raw",2
grok4_fast_breakfast_4,"Toasted Whole Wheat Bagels with Avocado, Smoked Salmon and Poached Eggs",5 g Capers,Capers,5.0,g,5.0,False,6.129,"Capers, canned",2
grok4_fast_breakfast_4,"Toasted Whole Wheat Bagels with Avocado, Smoked Salmon and Poached Eggs","0.5 piece Lemon, raw","Lemon, raw",0.5,piece,40.0,False,6.55,"Lemon, raw",2
grok4_fast_breakfast_4,"Toasted Whole Wheat Bagels with Avocado, Smoked Salmon and Poached Eggs","5 g Dill, fresh","Dill, fresh",5.0,g,5.0,False,6.12,"Dill, raw",2
grok4_fast_breakfast_4,"Toasted Whole Wheat Bagels with Avocado, Smoked Salmon and Poached Eggs","1 g Black pepper, ground","Black pepper, ground",1.0,g,1.0,True,,,-1
grok4_fast_breakfast_4,"Toasted Whole Wheat Bagels with Avocado, Smoked Salmon and Poached Eggs","2 g Salt, table","Salt, table",2.0,g,2.0,True,,,-1
grok4_fast_breakfast_5,"Whole Grain Bagel with Avocado, Smoked Salmon, and Poached Egg","2 pieces Bagel, whole wheat","Bagel, whole wheat",2.0,pieces,80.0,False,5.454,"Bagels, home-made",2
grok4_fast_breakfast_5,"Whole Grain Bagel with Avocado, Smoked Salmon, and Poached Egg","100 g Avocado, raw","Avocado, raw",100.0,g,100.0,False,6.524,"Avocado, raw",2
grok4_fast_breakfast_5,"Whole Grain Bagel with Avocado, Smoked Salmon, and Poached Egg","100 g Salmon, smoked","Salmon, smoked",100.0,g,100.0,False,4.018,"Salmon, smoked",2
grok4_fast_breakfast_5,"Whole Grain Bagel with Avocado, Smoked Salmon, and Poached Egg","2 pieces Egg, raw, medium","Egg, raw, medium",2.0,pieces,110.0,False,2.03,"Egg, organic, raw",2
grok4_fast_breakfast_5,"Whole Grain Bagel with Avocado, Smoked Salmon, and Poached Egg","15 g Cream cheese, plain","Cream cheese, plain",15.0,g,15.0,False,1.269,"Cream cheese, Philadelphia",2
grok4_fast_breakfast_5,"Whole Grain Bagel with Avocado, Smoked Salmon, and Poached Egg","50 g Tomato, raw, ripe","Tomato, raw, ripe",50.0,g,50.0,False,6.069,"Tomato, Norwegian, raw",2
grok4_fast_breakfast_5,"Whole Grain Bagel with Avocado, Smoked Salmon, and Poached Egg","10 g Onion, red, raw","Onion, red, raw",10.0,g,10.0,False,6.042,"Onion, Norwegian, raw",2
grok4_fast_breakfast_5,"Whole Grain Bagel with Avocado, Smoked Salmon, and Poached Egg",5 g Capers,Capers,5.0,g,5.0,False,6.129,"Capers, canned",2
grok4_fast_breakfast_5,"Whole Grain Bagel with Avocado, Smoked Salmon, and Poached Egg","10 ml Lemon juice, fresh","Lemon juice, fresh",0.1,dl,10.0,False,6.729,"Lemon juice, bottled",2
grok4_fast_breakfast_5,"Whole Grain Bagel with Avocado, Smoked Salmon, and Poached Egg","2 g Dill, fresh","Dill, fresh",2.0,g,2.0,False,6.12,"Dill, raw",2
grok4_fast_breakfast_5,"Whole Grain Bagel with Avocado, Smoked Salmon, and Poached Egg","1 g Black pepper, ground","Black pepper, ground",1.0,g,1.0,True,,,-1
grok4_fast_breakfast_5,"Whole Grain Bagel with Avocado, Smoked Salmon, and Poached Egg",2 g Sea salt,Sea salt,2.0,g,2.0,True,,,-1
grok4_fast_breakfast_6,Healthy Oat and Banana Breakfast Bread,"200 g Banana, raw, peeled","Banana, raw, peeled",200.0,g,200.0,False,6.525,"Banana, raw",2
grok4_fast_breakfast_6,Healthy Oat and Banana Breakfast Bread,150 g Whole wheat flour,Whole wheat flour,150.0,g,150.0,False,5.006,"Wheat flour, wholemeal",2
grok4_fast_breakfast_6,Healthy Oat and Banana Breakfast Bread,"100 g Oats, rolled","Oats, rolled",100.0,g,100.0,False,5.004,Oatmeal,2
grok4_fast_breakfast_6,Healthy Oat and Banana Breakfast Bread,"2 piece Egg, raw","Egg, raw",2.0,piece,110.0,False,2.03,"Egg, organic, raw",2
grok4_fast_breakfast_6,Healthy Oat and Banana Breakfast Bread,"80 g Greek yogurt, low-fat","Greek yogurt, low-fat",80.0,g,80.0,False,1.334,"Yoghurt, plain, 2 % fat, Greek/Turkish",2
grok4_fast_breakfast_6,Healthy Oat and Banana Breakfast Bread,"50 ml Milk, semi-skimmed","Milk, semi-skimmed",0.5,dl,50.0,False,1.231,"Milk, semi-skimmed, 0,5 % fat, unspecified",2
grok4_fast_breakfast_6,Healthy Oat and Banana Breakfast Bread,40 g Honey,Honey,40.0,g,40.0,False,9.003,Honey,2
grok4_fast_breakfast_6,Healthy Oat and Banana Breakfast Bread,"30 g Almonds, whole","Almonds, whole",30.0,g,30.0,False,6.107,Almonds,2
grok4_fast_breakfast_6,Healthy Oat and Banana Breakfast Bread,5 g Baking powder,Baking powder,5.0,g,5.0,True,,,-1
grok4_fast_breakfast_6,Healthy Oat and Banana Breakfast Bread,"2 g Cinnamon, ground","Cinnamon, ground",2.0,g,2.0,True,,,-1
grok4_fast_breakfast_6,Healthy Oat and Banana Breakfast Bread,"1 g Salt, table","Salt, table",1.0,g,1.0,True,,,-1
grok4_fast_breakfast_7,Healthy Banana Oat Bread with Walnuts and Yogurt,"300 g Banana, ripe, mashed","Banana, ripe, mashed",300.0,g,300.0,False,6.525,"Banana, raw",2
grok4_fast_breakfast_7,Healthy Banana Oat Bread with Walnuts and Yogurt,"200 g Flour, wheat, wholemeal","Flour, wheat, wholemeal",200.0,g,200.0,False,5.006,"Wheat flour, wholemeal",2
grok4_fast_breakfast_7,Healthy Banana Oat Bread with Walnuts and Yogurt,"150 g Oats, rolled","Oats, rolled",150.0,g,150.0,False,5.004,Oatmeal,2
grok4_fast_breakfast_7,Healthy Banana Oat Bread with Walnuts and Yogurt,"2 piece Egg, raw","Egg, raw",2.0,piece,110.0,False,2.03,"Egg, organic, raw",2
